c_cmax,D_SI,D_wh_SI
0.9083994977301266,2.977376846342805e-16,3.8308936832272113e-16
0.9057612396437755,1.902020440267227e-16,2.554440440998618e-16
0.9031229776390501,1.5415524438508745e-16,2.0802461180435276e-16
0.9004848392295565,1.3480377025716925e-16,1.8241692299904105e-16
0.897846711305912,1.241013414147332e-16,1.6819689051473965e-16
0.8952084296848656,1.171839623281261e-16,1.5889893924532847e-16
0.8925701747333481,1.118449719172134e-16,1.5143134956173852e-16
0.889931955919541,1.0970024734036786e-16,1.4815448768032323e-16
0.8872938126152308,1.078572506905244e-16,1.451739202955334e-16
0.8846556489516745,1.0720029237649036e-16,1.4369279821251383e-16
0.8820174564086148,1.0771710951622621e-16,1.4358418687995347e-16
0.8793793309985987,1.0735712491208051e-16,1.4210740285031215e-16
0.8767411883485611,1.0807118532433519e-16,1.4195634529751348e-16
0.8741029310111105,1.1103055026034333e-16,1.4455491317321942e-16
0.8714646717322062,1.1299789509594087e-16,1.4582337237613072e-16
0.8688264804195807,1.1619480619720984e-16,1.4845904062195103e-16
0.8661882347664237,1.2074084378318675e-16,1.5271872581814436e-16
0.863550013199187,1.2414235378600006e-16,1.5535396949029478e-16
0.8609117645489048,1.2895924481603573e-16,1.5971718446876788e-16
0.8582735258398418,1.3685338561203616e-16,1.6750713569259853e-16
0.8556353138989342,1.4209320886096243e-16,1.7213916942346946e-16
0.8529970124406419,1.5388705005833277e-16,1.852136768107522e-16
0.8503585491585147,1.6148032234915188e-16,1.9130890958716894e-16
0.8477202504701206,1.7058730104980285e-16,2.0053292331732127e-16
0.8450817829032257,1.792273184942587e-16,2.0784827173390306e-16
0.8424434414008822,1.9173988979778537e-16,2.2022528448462853e-16
0.8398051059316233,2.0720128522584857e-16,2.3585582849011496e-16
0.8371668792075015,2.2370384279564344e-16,2.520391933587496e-16
0.8345286156254059,2.4141674366739283e-16,2.695548889529356e-16
0.831890367417598,2.6016483740052714e-16,2.882270870213861e-16
0.8292521203132456,2.8013606769415807e-16,3.0812137329208983e-16
0.8266139049425832,2.981847176421983e-16,3.2524548473241516e-16
0.8239755559987535,3.2353912977892024e-16,3.506194620876001e-16
0.8213370808122092,3.4347563271718564e-16,3.6989548880293156e-16
0.8186988800913227,3.6413995722843995e-16,3.8964169500303972e-16
0.8160607291709921,3.892793640237138e-16,4.1433594051535655e-16
0.813422500758001,4.112129382030732e-16,4.3552781352254497e-16
0.8107842353898438,4.336176124240621e-16,4.575662168323187e-16
0.8081460739465584,4.561185510046148e-16,4.791865389593127e-16
0.805507671115146,4.788833827229441e-16,5.008026651192663e-16
0.8028691948321671,5.015688390081689e-16,5.229741822512993e-16
0.8002307261387052,5.190632063869442e-16,5.404783886233599e-16
