c_cmax,Ueq_V
0.8556353138989342,3.60852
0.8582735258398418,3.60665
0.8609117645489048,3.60478
0.863550013199187,3.60289
0.8661882347664237,3.60097
0.8688264804195807,3.59903
0.8714646717322062,3.59706
0.8741029310111105,3.59505
0.8767411883485611,3.59301
0.8793793309985987,3.59092
0.8820174564086148,3.58877
0.8846556489516745,3.58657
0.8872938126152308,3.58431
0.889931955919541,3.58198
0.8925701747333481,3.57958
0.8952084296848656,3.57708
0.897846711305912,3.57447
0.9004848392295565,3.57172
0.9031229776390501,3.56876
0.9057612396437755,3.56547
0.9083994977301266,3.56141
