c_cmax,Ueq_V
0.3279687142274982,4.18714
0.33060691049956703,4.18621
0.33324521291424813,4.18522
0.335883597495217,4.18413
0.3385219112215908,4.18291
0.3411603538570195,4.18153
0.34379871554847397,4.17995
0.3464371194250354,4.17816
0.3490753832051433,4.17616
0.3517137266822842,4.17393
0.3543520479024701,4.17147
0.3569904430029103,4.16879
0.35962876789153575,4.16589
0.3622672192567655,4.16278
0.364905550247446,4.15948
0.3675439547431534,4.15601
0.37018228925585706,4.15237
0.37282059486058083,4.14859
0.37545903314787954,4.14468
0.37809741850955336,4.14067
0.3807357613493346,4.13657
0.3833741001710601,4.1324
0.38601243907309946,4.12817
0.38865067867017555,4.1239
0.39128904645442164,4.11961
0.3939274107651931,4.11531
0.396565754904018,4.11101
0.3992040646258671,4.10672
0.40184245385538664,4.10245
0.40448080933270203,4.09821
0.40711901291486385,4.094
0.4097572318656641,4.08984
0.4123956192771054,4.08573
0.41503390406532187,4.08166
0.41767222860489406,4.07765
0.4203106397499382,4.0737
0.4229489949621024,4.0698
0.42558740954395335,4.06596
0.4282256810343963,4.06218
0.43086401949751935,4.05846
0.4335024549335769,4.0548
0.43614080190608173,4.05119
0.438779168995266,4.04763
0.4414175813450007,4.04413
0.44405589751457303,4.04068
0.446694122093309,4.03727
0.4493325459068183,4.03391
0.45197087490688703,4.03059
0.4546091562787905,4.0273
0.45724743775245624,4.02405
0.45988580543708585,4.02083
0.4625241147209878,4.01763
0.4651625874114812,4.01446
0.4678009579151609,4.0113
0.4704393660174309,4.00816
0.47307766234046744,4.00503
0.47571602785248535,4.0019
0.47835448167807265,3.99877
0.4809927260373981,3.99564
0.4836309674803802,3.9925
0.4862693203197056,3.98935
0.48890766210868175,3.98617
0.49154612636382716,3.98298
0.49418451280711334,3.97975
0.4968228951801824,3.97649
0.4994612601207368,3.9732
0.5020995611223975,3.96986
0.5047379614229179,3.96648
0.5073763115240544,3.96304
0.5100145971211549,3.95955
0.5126529079554785,3.95601
0.5152911752434004,3.9524
0.5179294999476626,3.94873
0.5205678611714146,3.94499
0.5232063042617285,3.94119
0.5258445607284362,3.93733
0.5284829171558998,3.9334
0.5311212445050189,3.92941
0.5337596017241315,3.92536
0.5363979163352759,3.92125
0.5390363157682525,3.9171
0.5416748083620727,3.9129
0.5443131572863233,3.90866
0.5469515984063985,3.90439
0.5495899437464361,3.9001
0.5522282903425838,3.8958
0.5548666658050987,3.89149
0.5575049897267751,3.8872
0.5601433711117104,3.88291
0.5627817024404324,3.87866
0.5654200860419869,3.87443
0.5680584112856837,3.87025
0.5706967176790512,3.86612
0.5733349949379349,3.86205
0.5759731900716838,3.85805
0.5786113958208843,3.85411
0.5812497032478317,3.85024
0.5838878999269461,3.84646
0.5865263202165627,3.84275
0.5891645207309312,3.83912
0.5918028168664619,3.83557
0.5944411009974447,3.8321
0.5970793564929091,3.82872
0.5997177382507146,3.82541
0.6023560762264606,3.82217
0.6049943774212607,3.81902
0.6076326173013358,3.81593
0.6102710528221367,3.81291
0.6129093725807756,3.80996
0.615547682782022,3.80707
0.618186099085611,3.80423
0.6208244129243573,3.80146
0.6234627923179386,3.79873
0.6261011679450763,3.79605
0.6287395039090238,3.79342
0.6313778771054294,3.79083
0.6340161768961861,3.78828
0.6366546218036562,3.78577
0.6392928984655348,3.78328
0.6419312569393005,3.78083
0.6445695662250766,3.77841
0.6472079511113831,3.77602
0.6498462685438864,3.77365
0.6524846124129325,3.7713
0.6551229316091984,3.76897
0.6577612729738085,3.76665
0.6603997377653991,3.76436
0.6630379719770907,3.76208
0.665676148387975,3.75981
0.6683144465313214,3.75756
0.670952799942287,3.75531
0.6735910741592517,3.75307
0.6762294298497045,3.75085
0.6788677696864008,3.74863
0.6815059683168015,3.74642
0.6841443290668979,3.74421
0.6867826959707511,3.74201
0.6894210455658222,3.73981
0.6920593213997668,3.73762
0.6946976183468178,3.73544
0.6973360091621386,3.73325
0.699974187506673,3.73107
0.702612466390505,3.7289
0.7052507534917077,3.72672
0.707889097231698,3.72455
0.7105274736160311,3.72238
0.713165715000663,3.72021
0.7158040453967386,3.71805
0.7184423424373192,3.71589
0.7210805197518012,3.71372
0.7237189451625717,3.71156
0.7263573465478828,3.7094
0.7289957054842395,3.70724
0.7316339942693767,3.70509
0.7342722991732146,3.70293
0.736910550059527,3.70077
0.7395488731001721,3.69862
0.7421873245235726,3.69646
0.744825705166732,3.69431
0.7474640206663375,3.69216
0.7501022450004925,3.69
0.7527405057520508,3.68785
0.755378763202182,3.6857
0.7580170807267068,3.68355
0.7606554278821218,3.6814
0.7632938872630909,3.67925
0.7659321993185111,3.67712
0.7685706448689805,3.67499
0.771209033017288,3.67286
0.7738473993308579,3.67073
0.7764857252483849,3.6686
0.7791241050901305,3.66648
0.7817625945809935,3.66436
0.7844009559833253,3.66224
0.7870392215806771,3.66012
0.7896777574676584,3.65801
0.7923160277753887,3.6559
0.7949543421991621,3.6538
0.7975925612349014,3.6517
0.8002307261387052,3.64961
0.8028691948321671,3.64752
0.805507671115146,3.64544
0.8081460739465584,3.64337
0.8107842353898438,3.64131
0.813422500758001,3.63926
0.8160607291709921,3.63722
0.8186988800913227,3.6352
0.8213370808122092,3.63319
0.8239755559987535,3.63119
0.8266139049425832,3.62922
0.8292521203132456,3.62726
0.831890367417598,3.62532
0.8345286156254059,3.6234
0.8371668792075015,3.6215
0.8398051059316233,3.61962
0.8424434414008822,3.61776
0.8450817829032257,3.61591
0.8477202504701206,3.61407
0.8503585491585147,3.61221
0.8529970124406419,3.61037
