r(x_rel=0.25)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.8	47020.9	47015.8	47005.3	46986.7	46957.4	46913.8	46851.4	46762.3	46631.9	46427.1	46046.3	44561.3	41368.7	40267.8	39581.8	39046.1	38583.8	38161.9	37763	37376.1	36992.9	36606.5	36209.7	35795	35354.1	34878.4	34361.1	33800.8	33207.3	32601.9	32009.3	31445.5	30914.4	30412.4	29933.6	29472.9	29026.2	28590.4	28163.1	27742.3	27326	26912.1	26498.5	26082.7	25662.5	25235.7	24800.6	24356.5	23903.9	23445	22983	22521.9	22065.1	21615.7	21175.6	20746.4	20329.4	19926.1	19538.2	19167.4	18815.5	18483.7	18172.9	17883.2	17614.4	17364.6	17131.1	16915.5	16756	16734.8	16961.4	17493.9	18176.2	18812.6	19367.1	19866	20332.3	20778.2	21210.1	21631.6	22045.3	22453.3	22857.7	23260.7	23664.4	24071.3	24483.4	24902.5	25329.8	25765.1	26207.5	26654.6	27103.5	27551.1	27994.7	28432	28861.6	29282.2	29693.2	30094	30484.2	30863.7	31232.6	31591.3	31940.9	32282.6	32618.3	32950.2	33281.1	33613.9	33952.3	34300.1	34661.9	35042	35444.9	35873.6	36328.6	36806	37296.9	37788.8	38269.1	38728.1	39160.1	39562.7	39935.4	40278.9	40594.2	40883.1	41147.4	41389.3	41611.3	41816	42006.1	42183.8	42351.4	42510.7	42663.7	42812
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.6	47020.3	47014.4	47002.6	46982.4	46950.7	46903.9	46836.8	46740.4	46597	46362.9	45882.8	43989.2	41312.4	40245.4	39566.8	39033.8	38572.7	38151.3	37752.4	37365.3	36981.7	36594.7	36197.2	35781.6	35339.8	34863.3	34345.6	33785.7	33193.6	32590.3	31999.9	31437.8	30908.1	30407	29928.9	29468.6	29022.1	28586.4	28159.2	27738.4	27322	26908	26494.2	26078.2	25657.9	25231	24795.8	24351.7	23899.2	23440.5	22978.8	22517.9	22061.5	21612.2	21172.3	20743.1	20326.2	19922.8	19534.7	19163.7	18811.5	18479.4	18168.2	17878.2	17609	17358.7	17124.8	16909.3	16752.5	16737.9	16973.2	17508.4	18186.6	18819.5	19372	19870	20335.8	20781.5	21213.3	21634.8	22048.6	22456.7	22861.3	23264.5	23668.5	24075.5	24487.9	24907.2	25334.5	25769.9	26212.3	26659.3	27108	27555.5	27998.8	28436	28865.5	29286.2	29697.2	30098.2	30488.5	30868.2	31237.4	31596.5	31946.4	32288.6	32624.8	32957.3	33288.8	33622.3	33961.5	34310.3	34673	35054.1	35457.9	35887.5	36343	36820.4	37310.8	37801.9	38281.2	38739.3	39170.5	39572.6	39944.9	40288.1	40603.3	40892	41156.2	41398.1	41620.1	41824.9	42015.1	42193	42360.8	42520.5	42673.9	42822.7
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.4	47019.6	47012.9	46999.9	46977.8	46943.7	46893.6	46821.7	46717.5	46559.6	46292.2	45692.9	43568	41258.6	40223.3	39551.9	39021.6	38561.6	38140.7	37741.9	37354.5	36970.5	36582.9	36184.6	35768.1	35325.4	34848.2	34330.1	33770.7	33180	32578.7	31990.5	31430.2	30901.8	30401.6	29924.1	29464.2	29017.9	28582.4	28155.2	27734.4	27317.9	26903.8	26489.8	26073.8	25653.3	25226.2	24791	24346.9	23894.6	23436	22974.6	22514	22057.8	21608.8	21169	20739.9	20323	19919.5	19531.3	19160	18807.5	18475.1	18163.5	17873.1	17603.5	17352.8	17118.5	16903.1	16749	16741.2	16985.1	17522.8	18197	18826.3	19377	19874	20339.4	20784.8	21216.5	21638.1	22051.9	22460.2	22864.9	23268.3	23672.5	24079.8	24492.3	24911.8	25339.3	25774.7	26217	26663.9	27112.5	27559.8	28003	28440.1	28869.5	29290.1	29701.3	30102.3	30492.8	30872.8	31242.2	31601.6	31952	32294.6	32631.3	32964.4	33296.5	33630.8	33970.8	34320.4	34684.1	35066.2	35471.1	35901.4	36357.3	36834.8	37324.7	37814.9	38293.3	38750.4	39181	39582.4	39954.4	40297.3	40612.3	40901	41165.1	41406.9	41629	41833.9	42024.2	42202.2	42370.3	42530.3	42684.2	42833.5
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47022	47018.5	47010.6	46995.7	46971.1	46933.4	46878.3	46799	46682.8	46502	46177.7	45371.9	43143.9	41187.6	40192.8	39531.1	39004.5	38546.1	38125.8	37727.1	37339.4	36954.8	36566.3	36167	35749.3	35305.3	34827	34308.5	33749.8	33161	32562.7	31977.4	31419.6	30893	30394.1	29917.5	29458.1	29012.2	28576.8	28149.6	27728.8	27312.2	26897.9	26483.7	26067.5	25646.8	25219.6	24784.3	24340.2	23888	23429.8	22968.7	22508.5	22052.7	21604	21164.4	20735.4	20318.5	19914.9	19526.4	19154.9	18801.9	18469	18156.9	17865.9	17595.8	17344.6	17109.6	16894.4	16744.3	16746.1	17001.8	17542.6	18211.3	18835.8	19383.9	19879.7	20344.3	20789.5	21221.1	21642.6	22056.5	22465	22870	23273.7	23678.2	24085.8	24498.6	24918.3	25345.9	25781.4	26223.6	26670.4	27118.8	27565.8	28008.8	28445.7	28875	29295.7	29706.9	30108.1	30498.9	30879.1	31249	31608.9	31959.8	32303	32640.5	32974.3	33307.3	33642.6	33983.8	34334.7	34699.7	35083.3	35489.4	35920.9	36377.4	36854.9	37344.1	37833.2	38310.2	38766.1	39195.6	39596.3	39967.7	40310.2	40625	40913.5	41177.6	41419.4	41641.5	41846.5	42036.9	42215.3	42383.7	42544.2	42698.6	42848.8
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47021.4	47016.9	47007.2	46989.7	46961.3	46918.6	46856.4	46766.3	46631.8	46414.2	45993	44876.9	42748.9	41100.1	40153.2	39503.7	38981.9	38525.6	38106.1	37707.4	37319.3	36933.9	36544.2	36143.5	35724.2	35278.5	34799	34280	33722.3	33136.1	32541.6	31960.2	31405.7	30881.5	30384.2	29908.7	29450	29004.5	28569.3	28142.3	27721.3	27304.6	26890.1	26475.7	26059.1	25638.2	25210.8	24775.4	24331.4	23879.4	23421.5	22960.9	22501.3	22045.9	21597.6	21158.3	20729.5	20312.5	19908.7	19520	19148	18794.5	18460.9	18148.1	17856.4	17585.5	17333.5	17097.8	16882.9	16738.4	16753.1	17024.2	17568.6	18230.1	18848.3	19393	19887.1	20350.9	20795.6	21227	21648.6	22062.7	22471.4	22876.7	23280.8	23685.7	24093.7	24506.9	24926.9	25354.7	25790.3	26232.4	26679	27127.1	27573.8	28016.5	28453.2	28882.4	29303	29714.3	30115.7	30506.9	30887.6	31258	31618.5	31970.2	32314.3	32652.6	32987.6	33321.8	33658.5	34001.1	34353.7	34720.5	35106	35513.9	35946.7	36404.1	36881.4	37369.7	37857.2	38332.5	38786.8	39214.9	39614.6	39985.3	40327.4	40641.9	40930.2	41194.2	41436	41658.1	41863.3	42054	42232.7	42401.6	42562.8	42718.1	42869.3
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.7	47020.5	47014.5	47002.3	46981.2	46947.8	46898.2	46826	46720.4	46558.4	46281.9	45697.4	44253.1	42396.1	40999.3	40104.7	39469.8	38953.6	38499.8	38081.2	37682.6	37293.9	36907.5	36516.4	36113.8	35692.6	35244.9	34763.8	34244.3	33687.9	33105.2	32515.3	31938.7	31388.3	30867	30371.8	29897.6	29439.8	28994.9	28560	28133	27712	27295.1	26880.3	26465.5	26048.6	25627.4	25199.7	24764.2	24320.3	23868.6	23411.1	22951.2	22492.1	22037.4	21589.6	21150.7	20722	20305	19901	19511.8	19139.3	18785.1	18450.7	18136.9	17844.3	17572.5	17319.5	17082.7	16868.4	16731.4	16762.8	17052.3	17600.5	18253.2	18863.8	19404.4	19896.4	20359.2	20803.3	21234.6	21656.1	22070.4	22479.5	22885.2	23289.7	23695.2	24103.7	24517.3	24937.7	25365.8	25801.4	26243.5	26689.7	27137.5	27583.8	28026.2	28462.6	28891.7	29312.3	29723.7	30125.4	30517	30898.3	31269.3	31630.7	31983.3	32328.5	32668.1	33004.4	33340.1	33678.5	34023	34377.8	34746.9	35134.6	35544.7	35979.2	36437.5	36914.7	37401.8	37887.3	38360.4	38812.7	39239.2	39637.7	40007.5	40349.1	40663.2	40951.3	41215.2	41457	41679.2	41884.6	42075.6	42254.8	42424.4	42586.5	42742.9	42895.5
1.08	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47019	47010.9	46995.4	46969.4	46929.4	46870.4	46784.5	46656.6	46452.9	46081	45243.9	43628.1	42083.9	40888.4	40047.9	39429.2	38919.7	38468.7	38051.2	37652.5	37263.1	36875.4	36482.6	36077.9	35654.2	35204.3	34721.4	34201.6	33646.9	33068.3	32484.1	31913.2	31367.4	30849.7	30356.9	29884.3	29427.6	28983.3	28548.7	28121.8	27700.7	27283.5	26868.4	26453.3	26036	25614.3	25186.4	24750.7	24306.8	23855.5	23398.6	22939.4	22481.2	22027.2	21580	21141.4	20712.9	20295.9	19891.7	19502	19128.7	18773.6	18438.2	18123.3	17829.6	17556.6	17302.4	17064.3	16851	16723.8	16775.7	17086.5	17638.1	18280.5	18882.3	19418.1	19907.7	20369.1	20812.7	21243.6	21665.3	22079.8	22489.2	22895.5	23300.6	23706.6	24115.8	24530	24950.8	25379.2	25814.9	26256.8	26702.7	27150	27595.9	28037.8	28474	28902.8	29323.5	29735.1	30137.1	30529.2	30911.2	31283.1	31645.5	31999.2	32345.7	32686.8	33024.8	33362.4	33702.9	34049.8	34407	34778.9	35169.4	35582	36018.5	36477.8	36954.7	37440.2	37923.5	38394	38843.9	39268.5	39665.5	40034.4	40375.3	40689.1	40977	41240.8	41482.6	41705	41910.6	42102.1	42281.9	42452.4	42615.6	42773.5	42928
1.26	47023.3	47023.3	47023.3	47023.3	47023.1	47021.6	47016.7	47005.8	46985.8	46953.5	46904.7	46833.1	46728.1	46567.7	46299.4	45772.9	44634.8	43083.8	41806.2	40770.3	39983.4	39382.3	38880	38432.2	38015.9	37617.1	37226.8	36837.6	36442.7	36035.5	35609.1	35156.5	34671.8	34151.8	33599.4	33025.7	32448	31883.6	31343.3	30829.5	30339.5	29868.8	29413.3	28969.7	28535.5	28108.7	27687.4	27270	26854.5	26438.8	26021	25598.9	25170.7	24734.9	24291.1	23840.2	23384	22925.6	22468.3	22015.2	21568.7	21130.6	20702.3	20285.2	19880.6	19490.4	19116.3	18760.1	18423.5	18107.2	17812.1	17537.7	17282	17042.3	16830.6	16716	16792.5	17126.7	17681	18311.8	18903.6	19434	19920.8	20380.8	20823.6	21254.3	21676	22090.8	22500.7	22907.6	23313.3	23720.1	24130	24544.8	24966.2	25394.9	25830.7	26272.4	26718	27164.8	27610.1	28051.5	28487.3	28916	29336.6	29748.4	30150.9	30543.6	30926.4	31299.4	31663	32018.1	32366.2	32709	33049	33388.8	33731.8	34081.4	34441.7	34816.8	35210.5	35626	36064.7	36525	37001.3	37485.1	37965.6	38433.1	38880.3	39302.8	39698.3	40066.1	40406.3	40719.7	41007.4	41271.1	41513	41735.6	41941.6	42133.6	42314.3	42485.9	42650.5	42810.3	42967.1
1.44	47023.3	47023.3	47023.3	47023.3	47022.8	47020.4	47013.3	46998.4	46972.6	46931.9	46871.5	46783	46651	46442.1	46071.4	45313.4	43974.6	42629	41556.3	40647.5	39911.9	39329.2	38834.7	38390.4	37975.2	37576.3	37184.9	36793.8	36396.5	35986.5	35557	35101.6	34615	34095.1	33545.7	32977.7	32407.3	31850.2	31315.8	30806.5	30319.6	29851	29396.9	28954.1	28520.3	28093.6	27672.2	27254.4	26838.4	26422.3	26003.9	25581.3	25152.6	24716.7	24273.1	23822.6	23367.2	22909.8	22453.6	22001.4	21555.7	21118.2	20690.1	20272.9	19867.9	19477	19101.9	18744.5	18406.4	18088.5	17791.8	17515.7	17258.1	17016.7	16807.3	16708.6	16813.9	17172.8	17728.6	18346.7	18927.7	19452.1	19935.7	20394.1	20836.1	21266.6	21688.3	22103.5	22513.9	22921.5	23328	23735.6	24146.3	24561.9	24983.9	25412.9	25848.8	26290.3	26735.4	27181.6	27626.3	28067.2	28502.6	28931	29351.7	29763.8	30166.8	30560.3	30944	31318.2	31683.2	32039.9	32389.8	32734.8	33077	33419.5	33765.4	34118.2	34482	34860.7	35258	35676.8	36117.8	36578.9	37054.6	37536.1	38013.6	38477.8	38922.1	39342.1	39735.9	40102.5	40442.1	40755.1	41042.6	41306.3	41548.3	41771.2	41977.7	42170.6	42352.3	42525.2	42691.7	42853.7	43013.6
1.62	47023.3	47023.3	47023.3	47023.2	47022.4	47018.4	47008.1	46988	46954.3	46902.9	46826.9	46715.1	46544.1	46260.7	45729.1	44704.7	43375.7	42247.2	41328.9	40521.8	39834.1	39270.2	38783.8	38343.1	37929	37529.9	37137.1	36743.9	36343.9	35930.7	35497.9	35039.6	34551.2	34031.9	33486	32924.5	32362.3	31813	31285.3	30780.8	30297.4	29831.1	29378.4	28936.5	28503.1	28076.5	27654.9	27236.7	26820.2	26403.5	25984.5	25561.3	25132.3	24696.2	24252.8	23802.9	23348.4	22892.1	22437	21985.9	21541.1	21104.1	20676.3	20259	19853.6	19461.8	19085.5	18726.6	18386.8	18067.1	17768.4	17490.3	17230.7	16987.1	16781.3	16702.4	16840.6	17224.6	17780.5	18384.9	18954.4	19472.3	19952.6	20409.1	20850.3	21280.4	21702.3	22117.8	22528.9	22937.2	23344.7	23753.2	24164.9	24581.3	25003.9	25433.3	25869.2	26310.5	26755.1	27200.7	27644.6	28084.9	28519.8	28948.1	29368.8	29781.2	30184.8	30579.1	30964	31339.6	31706.2	32064.9	32416.9	32764.2	33109.2	33454.6	33803.8	34160.4	34528.1	34910.9	35312.2	35734.4	36177.8	36639.7	37114.4	37593.3	38067.3	38527.9	38969	39386.5	39778.5	40143.9	40482.8	40795.4	41082.9	41346.7	41588.9	41812.2	42019.4	42213.2	42396.2	42570.9	42739.6	42904.6	43068.3
