r(x_rel=1)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.8	47020.9	47015.9	47005.4	46987	46957.8	46914.7	46852.8	46764.6	46636.1	46435.1	46065.3	44712.4	41433.3	40301.2	39605.7	39065.5	38600.5	38176.9	37776.9	37389.2	37005.7	36619.3	36222.8	35808.7	35368.8	34894.3	34378.4	33819.4	33226.4	32620.4	32026.2	31460.3	30927.1	30423.2	29943.1	29481.3	29033.9	28597.6	28170.2	27749.4	27333.2	26919.6	26506.3	26091	25671.2	25244.9	24810.2	24366.4	23913.9	23455	22992.7	22531.1	22073.8	21623.7	21183	20753.3	20336	19932.4	19544.4	19173.8	18822.2	18491.2	18181.5	17892.7	17623.6	17372.7	17138.1	16921.6	16760.6	16734.6	16951.4	17475	18157	18797.4	19355.2	19856.3	20323.9	20770.4	21202.6	21624.2	22037.8	22445.6	22849.8	23252.5	23655.9	24062.5	24474.3	24893.3	25320.4	25755.8	26198.3	26645.7	27095	27543	27987	28424.6	28854.4	29275.1	29686.2	30086.9	30477	30856.3	31225.1	31583.7	31933.2	32274.9	32610.5	32942.3	33272.9	33605.4	33943.4	34290.7	34651.6	35030.8	35432.6	35860	36313.8	36790.2	37280.5	37772.4	38253.1	38713	39146.2	39550.1	39924.1	40268.8	40585.4	40875.3	41140.5	41383.2	41605.9	41811.2	42001.7	42179.7	42347.5	42507.1	42660.2	42808.5
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.6	47020.3	47014.5	47002.8	46982.6	46951.2	46904.8	46838.4	46743.1	46601.8	46372.6	45909.2	44129.1	41373.5	40278.3	39590.5	39053.1	38589.4	38166.3	37766.3	37378.5	36994.6	36607.5	36210.3	35795.3	35354.4	34879.2	34362.9	33804.3	33212.6	32608.7	32016.7	31452.6	30920.7	30417.8	29938.3	29476.9	29029.7	28593.6	28166.2	27745.4	27329.2	26915.4	26502	26086.5	25666.6	25240.1	24805.4	24361.6	23909.3	23450.5	22988.5	22527.2	22070.1	21620.3	21179.8	20750.1	20332.7	19929.1	19541	19170.1	18818.3	18487	18176.8	17887.6	17618.1	17366.9	17131.9	16915.4	16757	16737.5	16963	17489.5	18167.6	18804.3	19360.2	19860.4	20327.4	20773.8	21205.8	21627.4	22041.1	22449	22853.4	23256.3	23660	24066.8	24478.8	24897.9	25325.1	25760.5	26203	26650.3	27099.5	27547.3	27991.1	28428.7	28858.3	29279.1	29690.2	30091	30481.3	30860.9	31229.9	31588.9	31938.8	32280.8	32617	32949.3	33280.6	33613.8	33952.6	34300.8	34662.7	35042.9	35445.6	35873.9	36328.2	36804.6	37294.4	37785.5	38265.3	38724.3	39156.7	39560	39933.6	40278.1	40594.4	40884.2	41149.3	41392	41614.7	41820.1	42010.7	42188.9	42357	42516.8	42670.3	42819.2
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.4	47019.6	47013	47000	46978.1	46944.3	46894.6	46823.4	46720.5	46565.2	46303.8	45728.4	43690.4	41316.5	40255.6	39575.4	39040.8	38578.3	38155.6	37755.7	37367.7	36983.4	36595.7	36197.7	35781.9	35340.1	34864.1	34347.5	33789.2	33198.9	32597.1	32007.2	31444.9	30914.4	30412.4	29933.5	29472.5	29025.6	28589.6	28162.2	27741.4	27325.1	26911.2	26497.7	26082	25662	25235.4	24800.6	24356.8	23904.6	23446	22984.3	22523.3	22066.5	21616.9	21176.5	20746.9	20329.5	19925.8	19537.5	19166.4	18814.3	18482.7	18172.2	17882.6	17612.7	17361	17125.6	16909.2	16753.4	16740.5	16974.7	17504	18178.1	18811.2	19365.2	19864.5	20331	20777.1	21209	21630.6	22044.4	22452.5	22857	23260.1	23664	24071	24483.3	24902.5	25329.9	25765.3	26207.8	26655	27104	27551.7	27995.3	28432.7	28862.3	29283.1	29694.2	30095.1	30485.6	30865.4	31234.7	31594	31944.3	32286.8	32623.5	32956.4	33288.3	33622.2	33961.8	34310.9	34673.8	35055	35458.7	35887.8	36342.5	36819	37308.3	37798.6	38277.4	38735.5	39167.2	39569.9	39943.1	40287.3	40603.5	40893.2	41158.2	41400.9	41623.6	41829	42019.8	42198.2	42366.5	42526.7	42680.6	42829.9
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47022	47018.6	47010.7	46995.9	46971.4	46934	46879.5	46801	46686.4	46508.7	46192.9	45422.2	43244.6	41241.7	40224.5	39554.4	39023.6	38562.7	38140.7	37740.9	37352.5	36967.6	36579.2	36180.1	35763.1	35320	34843	34325.9	33768.3	33179.9	32580.9	31994	31434.3	30905.6	30404.9	29926.8	29466.4	29019.8	28584	28156.7	27735.8	27319.4	26905.4	26491.6	26075.8	25655.5	25228.8	24793.9	24350.1	23898.1	23439.8	22978.4	22517.8	22061.4	21612	21171.9	20742.4	20325	19921.2	19532.7	19161.2	18808.7	18476.6	18165.6	17875.5	17605	17352.7	17116.7	16900.5	16748.6	16745	16991	17523.9	18192.6	18820.8	19372.2	19870.1	20336	20781.7	21213.6	21635.1	22049	22457.3	22862.1	23265.4	23669.7	24077	24489.5	24909	25336.5	25772	26214.4	26661.4	27110.2	27557.7	28001.1	28438.3	28867.9	29288.6	29699.8	30100.9	30491.6	30871.7	31241.5	31601.3	31952.1	32295.3	32632.6	32966.3	33299.1	33634.1	33974.8	34325.1	34689.4	35072	35477	35907.2	36362.6	36839.1	37327.8	37816.8	38294.3	38751.2	39181.8	39583.8	39956.5	40300.3	40616.2	40905.7	41170.7	41413.3	41636.1	41841.6	42032.5	42211.2	42379.8	42540.5	42695	42845.2
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.4	47017	47007.3	46989.9	46961.8	46919.4	46857.8	46768.7	46636.2	46422.9	46014.3	44943.8	42830	41150	40184	39526.7	39000.8	38542.1	38120.9	37721.2	37332.4	36946.7	36557.1	36156.7	35738	35293.3	34815	34297.3	33740.7	33154.9	32559.7	31976.7	31420.2	30894	30394.9	29918	29458.3	29012.1	28576.5	28149.3	27728.4	27311.8	26897.6	26483.5	26067.4	25646.9	25220	24785	24341.3	23889.4	23431.5	22970.6	22510.5	22054.6	21605.7	21165.8	20736.4	20319.1	19915.1	19526.2	19154.4	18801.3	18468.6	18156.9	17866	17594.7	17341.7	17104.8	16888.9	16742.5	16751.5	17012.9	17550	18211.6	18833.5	19381.4	19877.6	20342.6	20787.9	21219.5	21641.1	22055.1	22463.7	22868.8	23272.5	23677.2	24084.9	24497.8	24917.6	25345.3	25780.9	26223.2	26670.1	27118.5	27565.7	28008.8	28445.8	28875.2	29295.9	29707.2	30108.6	30499.6	30880.2	31250.4	31610.9	31962.5	32306.5	32644.7	32979.5	33313.5	33649.9	33992.1	34344.1	34710.1	35094.6	35501.4	35933	36389.2	36865.6	37353.4	37840.9	38316.7	38771.9	39201.2	39602.2	39974.1	40317.5	40633.1	40922.5	41187.4	41430	41652.8	41858.4	42049.6	42228.6	42397.8	42559.1	42714.5	42865.6
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.7	47020.5	47014.6	47002.5	46981.4	46948.3	46899.1	46827.7	46723.4	46564	46293.8	45729	44327	42461.9	41044.8	40134.5	39492.4	38972.4	38516.2	38096.1	37696.4	37307.1	36920.3	36529.3	36127.1	35706.5	35259.8	34779.8	34261.7	33706.3	33123.8	32533.2	31955.1	31402.7	30879.4	30382.5	29906.9	29448.1	29002.5	28567.2	28140	27719	27302.3	26887.8	26473.4	26056.9	25636.1	25208.9	24773.8	24330.1	23878.6	23421.1	22960.8	22501.3	22046	21597.6	21158.1	20728.9	20311.5	19907.4	19518.1	19145.7	18792	18458.4	18145.8	17854	17581.8	17327.7	17089.7	16874.4	16735.3	16760.6	17040.6	17582	18235.1	18849.2	19392.9	19887	20350.9	20795.6	21227.1	21648.7	22062.9	22471.7	22877.2	23281.5	23686.6	24094.9	24508.3	24928.5	25356.4	25792.1	26234.3	26680.8	27129	27575.7	28018.5	28455.2	28884.5	29305.2	29716.6	30118.2	30509.7	30890.8	31261.8	31623.1	31975.6	32320.6	32660.1	32996.3	33331.8	33669.8	34013.9	34368	34736.4	35123.1	35532.1	35965.5	36422.6	36898.9	37385.5	37871.1	38344.7	38797.9	39225.6	39625.3	39996.4	40339.2	40654.5	40943.6	41208.4	41451	41673.9	41879.8	42071.2	42250.7	42420.6	42582.7	42739.2	42891.9
1.08	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47019	47011	46995.6	46969.8	46930.1	46871.7	46786.7	46660.5	46460.6	46098.4	45289.6	43695.9	42138.3	40929.7	40076.6	39451.4	38938.2	38485	38066	37666.3	37276.3	36888.3	36495.5	36091.2	35668.2	35219.2	34737.5	34218.9	33665.1	33086.7	32501.8	31929.3	31381.7	30862	30367.5	29893.6	29435.9	28990.9	28555.9	28128.8	27707.8	27290.8	26875.9	26461.2	26044.3	25623.1	25195.6	24760.3	24316.7	23865.5	23408.6	22949	22490.3	22035.8	21588	21148.9	20719.9	20302.5	19898	19508.3	19135.2	18780.6	18446	18132.4	17839.3	17565.9	17310.5	17071.3	16856.9	16727.3	16772.7	17074.2	17619.8	18262.8	18867.9	19406.7	19898.3	20360.8	20804.9	21236.1	21657.8	22072.2	22481.5	22887.5	23292.3	23698.1	24106.9	24520.9	24941.5	25369.8	25805.5	26247.6	26693.9	27141.6	27587.8	28030.2	28466.6	28895.7	29316.4	29728	30129.9	30521.9	30903.7	31275.5	31637.8	31991.5	32337.9	32678.8	33016.6	33354	33694.1	34040.6	34397.2	34768.3	35157.8	35569.3	36004.7	36462.8	36938.8	37424	37907.3	38378.4	38829.2	39254.9	39653.2	40023.3	40365.5	40680.4	40969.3	41234	41476.6	41699.6	41905.8	42097.7	42277.8	42448.5	42611.8	42769.8	42924.2
1.26	47023.3	47023.3	47023.3	47023.3	47023.1	47021.6	47016.8	47005.9	46986.1	46954	46905.5	46834.7	46731	46573	46310.3	45799.2	44691.3	43141.1	41852.1	40807.8	40010.9	39404	38898.3	38448.4	38030.6	37630.9	37240	36850.5	36455.7	36048.9	35623.1	35171.5	34687.9	34169	33617.5	33043.9	32465.4	31899.5	31357.3	30841.6	30350	29878	29421.5	28977.2	28542.7	28115.7	27694.5	27277.2	26862	26446.8	26029.4	25607.7	25179.9	24744.5	24301	23850.2	23393.9	22935.2	22477.4	22023.8	21576.7	21138	20709.3	20291.8	19887	19496.7	19122.8	18767.1	18431.4	18116.4	17822	17547	17290.1	17049.3	16836.5	16719.1	16788.6	17113.8	17662.9	18294.4	18889.5	19422.8	19911.4	20372.5	20815.9	21246.8	21668.5	22083.2	22492.9	22899.5	23305	23711.5	24121.1	24535.7	24956.9	25385.5	25821.3	26263.2	26709.1	27156.3	27602	28043.9	28479.9	28908.8	29329.5	29741.3	30143.7	30536.3	30918.9	31291.7	31655.2	32010.3	32358.2	32700.9	33040.7	33380.3	33722.9	34072.1	34431.8	34806	35198.8	35613.2	36050.8	36509.9	36985.5	37468.9	37949.5	38417.6	38865.8	39289.3	39686	40055	40396.5	40711	40999.7	41264.3	41507	41730.2	41936.8	42129.2	42310.2	42482	42646.7	42806.5	42963.3
1.44	47023.3	47023.3	47023.3	47023.3	47022.8	47020.4	47013.3	46998.6	46972.9	46932.6	46872.7	46785.1	46654.9	46449.6	46087.8	45351.6	44031.1	42677	41595.9	40681.6	39938.2	39350.4	38852.8	38406.4	37989.8	37590	37198.1	36806.8	36409.6	35999.9	35571.1	35116.7	34631.2	34112.3	33563.6	32995.6	32424.5	31865.8	31329.7	30818.5	30330	29860.2	29405	28961.6	28527.5	28100.6	27679.2	27261.7	26846	26430.2	26012.3	25590.1	25161.9	24726.3	24283	23832.6	23377.1	22919.4	22462.7	22010	21563.7	21125.5	20697	20279.5	19874.3	19483.3	19108.4	18751.6	18414.4	18097.9	17801.7	17525	17266.3	17023.6	16813.1	16711.1	16809	17159.3	17710.8	18329.8	18913.8	19441	19926.5	20385.9	20828.4	21259.1	21680.8	22095.9	22506.1	22913.4	23319.7	23727	24137.4	24552.8	24974.6	25403.5	25839.4	26281.2	26726.6	27173.2	27618.3	28059.6	28495.2	28923.9	29344.6	29756.6	30159.5	30552.9	30936.5	31310.5	31675.4	32032.1	32381.9	32726.6	33068.7	33410.9	33756.4	34108.8	34472	34849.8	35246.2	35663.8	36103.7	36563.9	37038.8	37520	37997.6	38462.4	38907.6	39328.7	39723.7	40091.6	40432.3	40746.4	41035	41299.6	41542.4	41765.9	41972.9	42166.1	42348.1	42521.3	42687.8	42849.9	43009.6
1.62	47023.3	47023.3	47023.3	47023.2	47022.4	47018.5	47008.2	46988.2	46954.8	46903.7	46828.6	46718	46549.6	46271.9	45754.1	44752.3	43425.4	42287.8	41363.6	40552.8	39859.3	39290.9	38801.6	38358.9	37943.6	37543.6	37150.3	36757	36357	35944.2	35512.1	35054.7	34567.4	34049	33503.8	32942.2	32379.1	31828.4	31298.9	30792.7	30307.6	29840.1	29386.5	28944	28510.3	28083.5	27662	27244	26827.8	26411.4	25992.9	25570.1	25141.5	24705.8	24262.6	23812.8	23358.2	22901.6	22446.1	21994.4	21549	21111.5	20683.2	20265.6	19859.9	19468.1	19092.1	18733.8	18395	18076.6	17778.5	17499.7	17238.9	16994	16787	16704.2	16834.6	17210.6	17763	18368.4	18940.9	19461.4	19943.4	20401	20842.6	21272.9	21694.8	22110.2	22521.1	22929.2	23336.3	23744.6	24155.9	24572.2	24994.6	25423.9	25859.9	26301.4	26746.4	27192.3	27636.7	28077.3	28512.5	28940.9	29361.7	29774	30177.5	30571.7	30956.5	31331.9	31698.4	32056.9	32408.8	32756	33100.8	33446	33794.8	34150.8	34517.9	34899.8	35300.2	35721.3	36163.6	36624.6	37098.6	37577.3	38051.5	38512.7	38954.6	39373.2	39766.4	40133.1	40473.1	40786.9	41075.3	41340	41583	41806.9	42014.6	42208.8	42392	42566.9	42735.7	42900.6	43064.1
