r(x_rel=0.75)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.8	47020.9	47015.9	47005.5	46987.1	46958.1	46915.1	46853.6	46766	46638.5	46439.7	46076	44793.4	41472	40320.8	39619.6	39076.7	38610.1	38185.5	37784.8	37396.8	37013.1	36626.6	36230.3	35816.6	35377.1	34903.4	34388.3	33830	33237.3	32631	32035.9	31468.8	30934.4	30429.5	29948.5	29486.1	29038.2	28601.8	28174.2	27753.4	27337.4	26923.9	26510.8	26095.7	25676.2	25250.1	24815.7	24372	23919.7	23460.7	22998.3	22536.4	22078.8	21628.4	21187.3	20757.3	20339.7	19936.1	19548	19177.4	18826.1	18495.6	18186.6	17898.2	17628.9	17377.5	17142.2	16925.2	16763.3	16734.4	16945.8	17464.3	18146.1	18788.8	19348.6	19851	20319.2	20766.1	21198.4	21620	22033.6	22441.3	22845.4	23247.9	23651.2	24057.6	24469.3	24888.1	25315.2	25750.6	26193.2	26640.7	27090.3	27538.5	27982.7	28420.5	28850.4	29271.2	29682.2	30082.9	30473	30852.2	31220.9	31579.5	31929	32270.6	32606.1	32937.8	33268.4	33600.7	33938.4	34285.4	34646	35024.7	35425.8	35852.6	36305.6	36781.5	37271.4	37763.2	38244.3	38704.7	39138.6	39543.2	39917.9	40263.3	40580.5	40871	41136.7	41379.8	41602.9	41808.5	41999.2	42177.5	42345.4	42505.1	42658.2	42806.5
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.6	47020.3	47014.5	47002.9	46982.8	46951.5	46905.4	46839.3	46744.7	46604.6	46378.1	45924.1	44208.2	41409.9	40297.5	39604.3	39064.3	38599	38174.9	37774.3	37386	37001.9	36614.9	36217.8	35803.2	35362.8	34888.3	34372.8	33814.9	33223.5	32619.3	32026.4	31461.1	30928	30424	29943.7	29481.7	29034.1	28597.7	28170.2	27749.4	27333.3	26919.7	26506.5	26091.3	25671.6	25245.4	24810.9	24367.3	23915	23456.2	22994.1	22532.5	22075.1	21624.9	21184	20754.1	20336.5	19932.8	19544.6	19173.8	18822.2	18491.3	18181.9	17893.2	17623.5	17371.6	17136	16918.9	16759.6	16737.1	16957.2	17478.9	18156.8	18795.8	19353.7	19855.1	20322.8	20769.5	21201.7	21623.2	22036.9	22444.8	22849	23251.7	23655.3	24061.9	24473.8	24892.8	25319.9	25755.3	26197.9	26645.4	27094.7	27542.9	27986.9	28424.6	28854.4	29275.2	29686.2	30087	30477.2	30856.7	31225.7	31584.7	31934.5	32276.5	32612.6	32944.9	33276	33609.1	33947.6	34295.5	34657	35036.7	35438.8	35866.4	36320	36795.8	37285.4	37776.4	38256.5	38716	39149.1	39553.1	39927.4	40272.5	40589.5	40879.9	41145.5	41388.7	41611.7	41817.4	42008.3	42186.7	42354.9	42514.8	42668.4	42817.2
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.4	47019.6	47013	47000.1	46978.3	46944.6	46895.2	46824.4	46722.2	46568.4	46310.5	45748.2	43761.1	41351	40274.6	39589.1	39051.9	38587.8	38164.2	37763.7	37375.2	36990.7	36603.1	36205.2	35789.8	35348.5	34873.2	34357.4	33799.8	33209.8	32607.6	32016.9	31453.4	30921.7	30418.6	29938.9	29477.3	29029.9	28593.7	28166.3	27745.4	27329.2	26915.5	26502.2	26086.8	25667	25240.7	24806.1	24362.5	23910.4	23451.7	22989.9	22528.5	22071.4	21621.5	21180.7	20750.9	20333.3	19929.5	19541.1	19170.1	18818.2	18487.1	18177.3	17888.2	17618.1	17365.8	17129.7	16912.7	16756	16740	16968.7	17493.3	18167.4	18802.8	19358.7	19859.1	20326.4	20772.8	21204.9	21626.5	22040.2	22448.2	22852.6	23255.5	23659.3	24066.1	24478.2	24897.4	25324.7	25760.1	26202.7	26650	27099.2	27547.2	27991	28428.6	28858.3	29279.1	29690.2	30091.1	30481.5	30861.3	31230.5	31589.8	31940	32282.5	32619.1	32951.9	33283.7	33617.5	33956.8	34305.6	34668.1	35048.8	35451.8	35880.2	36334.3	36810.2	37299.3	37789.5	38268.6	38727.2	39159.5	39563	39936.9	40281.8	40598.6	40888.9	41154.4	41397.5	41620.6	41826.4	42017.3	42195.9	42364.4	42524.6	42678.6	42828
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47022	47018.6	47010.7	46996	46971.6	46934.4	46880.2	46802.2	46688.4	46512.5	46201.5	45450.2	43303.3	41273.8	40243	39567.9	39034.6	38572.3	38149.3	37748.9	37360.1	36975	36586.5	36187.6	35770.9	35328.4	34852.1	34335.8	33778.9	33190.7	32591.4	32003.6	31442.7	30912.8	30411.1	29932.2	29471.2	29024.2	28588.1	28160.7	27739.8	27323.5	26909.7	26496.1	26080.5	25660.5	25234.1	24799.4	24355.8	23903.8	23445.5	22984	22523	22066.3	21616.6	21176.1	20746.4	20328.8	19924.9	19536.3	19164.9	18812.7	18481	18170.8	17881.1	17610.4	17357.5	17120.8	16904	16751.1	16744.3	16984.9	17513.3	18182.1	18812.4	19365.7	19864.8	20331.4	20777.4	21209.4	21631	22044.8	22453	22857.6	23260.9	23664.9	24072.1	24484.5	24903.9	25331.3	25766.8	26209.3	26656.5	27105.5	27553.2	27996.8	28434.3	28863.9	29284.7	29695.8	30096.9	30487.5	30867.6	31237.3	31597	31947.8	32290.9	32628.2	32961.8	33294.5	33629.3	33969.8	34319.8	34683.6	35065.7	35470.1	35899.7	36354.4	36830.3	37318.7	37807.8	38285.6	38742.9	39174.2	39576.9	39950.3	40294.7	40611.3	40901.4	41166.9	41410	41633.1	41839	42030.1	42208.9	42377.7	42538.5	42693.1	42843.2
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.4	47017	47007.4	46990	46962	46919.8	46858.6	46770.1	46638.7	46427.8	46026.3	44981.6	42877.4	41179.5	40202	39540.1	39011.8	38551.6	38129.5	37729.1	37340	36954.1	36564.5	36164.2	35745.9	35301.8	34824.1	34307.3	33751.2	33165.6	32570	31986.2	31428.5	30901.1	30401.1	29923.3	29463.1	29016.5	28580.7	28153.3	27732.4	27315.9	26901.9	26488.1	26072.2	25652	25225.3	24790.5	24346.9	23895.2	23437.2	22976.1	22515.7	22059.5	21610.2	21170	20740.4	20322.8	19918.7	19529.8	19158.1	18805.3	18473	18162.1	17871.6	17600.1	17346.4	17108.9	16892.4	16744.8	16750.6	17006.5	17539.4	18201.2	18825.2	19375	19872.3	20338	20783.6	21215.4	21637	22050.9	22459.4	22864.4	23268	23672.4	24080	24492.8	24912.5	25340.1	25775.7	26218.1	26665.1	27113.8	27561.2	28004.6	28441.7	28871.2	29292	29703.3	30104.6	30495.5	30876	31246.2	31606.7	31958.2	32302.1	32640.3	32975.1	33308.9	33645.1	33987	34338.7	34704.3	35088.3	35494.5	35925.4	36381	36856.8	37344.4	37831.9	38308	38763.7	39193.6	39595.3	39968	40312	40628.3	40918.2	41183.6	41426.6	41649.8	41855.8	42047.1	42226.4	42395.6	42557.1	42712.5	42863.7
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.7	47020.5	47014.6	47002.5	46981.6	46948.6	46899.7	46828.7	46725.1	46567.3	46300.6	45746.8	44369.5	42500.4	41071.6	40151.9	39505.5	38983.3	38525.7	38104.6	37704.3	37314.6	36927.7	36536.7	36134.7	35714.4	35268.3	34789	34271.6	33716.7	33134.5	32543.5	31964.5	31410.9	30886.5	30388.6	29912.2	29452.9	29006.8	28571.3	28144.1	27723.1	27306.4	26892.1	26477.9	26061.7	25641.2	25214.2	24779.3	24335.8	23884.3	23426.8	22966.3	22506.6	22051	21602.2	21162.4	20732.9	20315.3	19911	19521.7	19149.4	18795.9	18462.9	18151.1	17859.7	17587.2	17332.4	17093.8	16877.9	16737.5	16759.3	17033.9	17571.6	18224.9	18841	19386.5	19881.7	20346.3	20791.3	21222.9	21644.5	22058.7	22467.4	22872.8	23276.9	23681.9	24090	24503.2	24923.3	25351.2	25786.9	26229.2	26675.9	27124.3	27571.3	28014.3	28451.2	28880.5	29301.2	29712.7	30114.2	30505.6	30886.7	31257.6	31618.8	31971.2	32316.3	32655.7	32991.8	33327.1	33665	34008.9	34362.6	34730.5	35116.8	35525.1	35957.8	36414.3	36890.1	37376.4	37862.1	38336	38789.7	39218	39618.4	39990.2	40333.7	40649.6	40939.3	41204.6	41447.7	41670.9	41877.1	42068.8	42248.5	42418.4	42580.7	42737.2	42889.8
1.08	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47019	47011.1	46995.7	46970	46930.5	46872.4	46787.9	46662.8	46465	46108.2	45315.5	43735.4	42170.1	40954	40093.3	39464.3	38948.9	38494.4	38074.5	37674.2	37283.9	36895.7	36503	36098.8	35676.2	35227.7	34746.7	34228.8	33675.6	33097.3	32511.9	31938.6	31389.8	30869	30373.5	29898.9	29440.6	28995.2	28560	28132.9	27711.8	27294.9	26880.2	26465.7	26049.1	25628.1	25200.9	24765.8	24322.4	23871.2	23414.2	22954.5	22495.6	22040.7	21592.5	21153.1	20723.9	20306.2	19901.7	19511.9	19138.9	18784.6	18450.6	18137.7	17845.1	17571.3	17315.3	17075.4	16860.4	16729.3	16771	17067.2	17609.5	18252.8	18859.8	19400.4	19893	20356.3	20800.7	21232	21653.6	22068	22477.2	22883	23287.7	23693.3	24102	24515.8	24936.4	25364.6	25800.3	26242.5	26689	27136.9	27583.4	28025.9	28462.5	28891.7	29312.4	29724	30125.9	30517.8	30899.6	31271.3	31633.5	31987.1	32333.5	32674.4	33012.1	33349.3	33689.3	34035.4	34391.8	34762.4	35151.4	35562.3	35997	36454.5	36930.1	37415	37898.4	38369.7	38821	39247.4	39646.4	40017.2	40360	40675.5	40965.1	41230.3	41473.3	41696.7	41903.1	42095.3	42275.6	42446.4	42609.8	42767.7	42922.1
1.26	47023.3	47023.3	47023.3	47023.3	47023.1	47021.6	47016.8	47006	46986.2	46954.2	46906.1	46835.7	46732.6	46576.1	46316.6	45814	44723.7	43174.6	41878.9	40829.7	40026.9	39416.6	38908.9	38457.7	38039	37638.8	37247.6	36857.9	36463.1	36056.5	35631.2	35180.1	34697.1	34178.9	33627.9	33054.4	32475.4	31908.7	31365.3	30848.6	30356	29883.2	29426.2	28981.6	28546.8	28119.7	27698.6	27281.4	26866.3	26451.3	26034.2	25612.8	25185.2	24750	24306.7	23855.9	23399.6	22940.7	22482.7	22028.7	21581.2	21142.2	20713.2	20295.5	19890.7	19500.3	19126.5	18771.2	18436	18121.8	17827.8	17552.5	17294.9	17053.4	16839.9	16720.8	16786.3	17106.4	17652.7	18284.7	18881.6	19416.5	19906.2	20368	20811.6	21242.7	21664.3	22079	22488.6	22895.1	23300.4	23706.8	24116.2	24530.7	24951.7	25380.3	25816.1	26258.2	26704.2	27151.6	27597.6	28039.6	28475.8	28904.8	29325.5	29737.3	30139.7	30532.2	30914.8	31287.5	31650.9	32005.9	32353.8	32696.5	33036.2	33375.6	33718.1	34067	34426.3	34800.1	35192.3	35606.1	36043	36501.6	36976.7	37459.9	37940.6	38409	38857.7	39281.8	39679.2	40048.9	40391.1	40706.2	40995.5	41260.6	41503.7	41727.3	41934.1	42126.8	42307.9	42479.8	42644.6	42804.4	42961.1
1.44	47023.3	47023.3	47023.3	47023.3	47022.8	47020.4	47013.4	46998.7	46973.1	46933	46873.4	46786.4	46657.1	46454	46097.1	45373.3	44063.9	42705	41619	40701.4	39953.5	39362.7	38863.2	38415.6	37998.2	37597.9	37205.6	36814.2	36417	36007.6	35579.2	35125.3	34640.5	34122.2	33573.9	33005.9	32434.3	31874.8	31337.6	30825.4	30336	29865.4	29409.7	28965.9	28531.6	28104.6	27683.3	27265.8	26850.3	26434.8	26017.1	25595.2	25167.2	24731.8	24288.6	23838.3	23382.8	22924.9	22467.9	22014.9	21568.2	21129.8	20701	20283.2	19878	19487	19112.2	18755.6	18419.1	18103.3	17807.6	17530.5	17271.1	17027.7	16816.5	16712.6	16806.1	17151.6	17700.7	18320.2	18906.1	19434.8	19921.3	20381.3	20824.2	21254.9	21676.7	22091.7	22501.8	22908.9	23315.1	23722.3	24132.5	24547.7	24969.4	25398.3	25834.3	26276.1	26721.7	27168.6	27613.9	28055.4	28491.1	28919.9	29340.6	29752.7	30155.5	30548.8	30932.3	31306.2	31671.1	32027.7	32377.4	32722.1	33064.1	33406.2	33751.5	34103.6	34466.4	34843.8	35239.6	35656.7	36095.9	36555.5	37030	37511.1	37988.8	38453.9	38899.5	39321.3	39717	40085.5	40426.9	40741.7	41030.8	41295.9	41539.1	41763	41970.3	42163.7	42345.9	42519.1	42685.7	42847.7	43007.4
1.62	47023.3	47023.3	47023.3	47023.2	47022.4	47018.5	47008.3	46988.3	46955.1	46904.3	46829.5	46719.7	46552.7	46278.3	45768.3	44779.7	43454.4	42311.5	41383.8	40570.9	39873.9	39302.8	38811.9	38368.1	37952	37551.4	37157.9	36764.4	36364.6	35952	35520.3	35063.4	34576.7	34058.8	33513.9	32952.4	32388.8	31837.2	31306.7	30799.4	30313.5	29845.3	29391.2	28948.3	28514.4	28087.5	27666.1	27248.2	26832.2	26416	25997.7	25575.2	25146.8	24711.3	24268.3	23818.5	23363.8	22907.1	22451.3	21999.3	21553.5	21115.7	20687.2	20269.3	19863.6	19471.8	19095.9	18737.9	18399.7	18082.2	17784.4	17505.2	17243.6	16998.1	16790.4	16705.3	16831	17202.6	17753.1	18359.2	18933.3	19455.3	19938.3	20396.4	20838.3	21268.8	21690.6	22106	22516.7	22924.7	23331.7	23739.8	24151	24567.1	24989.4	25418.7	25854.7	26296.4	26741.5	27187.6	27632.3	28073.1	28508.4	28936.9	29357.7	29770.1	30173.5	30567.6	30952.3	31327.6	31694	32052.5	32404.4	32751.5	33096.1	33441.2	33789.8	34145.5	34512.2	34893.7	35293.5	35714	36155.7	36616.2	37089.8	37568.4	38042.7	38504.2	38946.6	39365.9	39759.7	40127	40467.7	40782.1	41071.1	41336.3	41579.7	41804	42011.9	42206.3	42389.8	42564.7	42733.5	42898.4	43061.9
