t(s)	Current(A)
0	-0
0.1	0.000738
0.3	0.000738
0.7	0.000738
1.5	0.000738
3.1	0.000738
6.3	0.000738
12.7	0.000738
25.5	0.000738
38.3	0.000738
51.1	0.000738
63.9	0.000738
76.7	0.000738
89.5	0.000738
102.3	0.000738
115.1	0.000738
127.9	0.000738
140.7	0.000738
147.1	0.000738
153.5	0.000738
159.9	0.000738
166.3	0.000738
172.7	0.000738
179.1	0.000738
185.5	0.000738
191.9	0.000738
198.3	0.000738
204.7	0.000738
211.1	0.000738
217.5	0.000738
223.9	0.000738
230.3	0.000738
236.7	0.000738
243.1	0.000738
249.5	0.000738
255.9	0.000738
262.3	0.000738
268.7	0.000738
275.1	0.000738
281.5	0.000738
287.9	0.000738
294.3	0.000738
300.7	0.000738
307.1	0.000738
313.5	0.000738
319.9	0.000738
326.3	0.000738
332.7	0.000738
339.1	0.000738
345.5	0.000738
348.7	0.000738
351.9	0.000738
355.1	0.000738
358.3	0.000738
361.5	0.000738
364.7	0.000738
367.9	0.000738
371.1	0.000738
374.3	0.000738
377.5	0.000738
380.7	0.000738
383.9	0.000738
387.1	0.000738
390.3	0.000738
396.7	0.000738
403.1	0.000738
409.5	0.000738
412.7	0.000738
415.9	0.000738
419.1	0.000738
422.3	0.000738
425.5	0.000738
428.7	0.000738
431.9	0.000738
435.1	0.000738
438.3	0.000738
441.5	0.000738
444.7	0.000738
447.9	0.000738
454.3	0.000738
460.7	0.000738
467.1	0.000738
473.5	0.000738
479.9	0.000738
486.3	0.000738
492.7	0.000738
499.1	0.000738
505.5	0.000738
508.7	0.000738
511.9	0.000738
515.1	0.000738
518.3	0.000738
521.5	0.000738
524.7	0.000738
527.9	0.000738
531.1	0.000738
534.3	0.000738
540.7	0.000738
547.1	0.000738
553.5	0.000738
559.9	0.000738
566.3	0.000738
572.7	0.000738
579.1	0.000738
582.3	0.000738
585.5	0.000738
588.7	0.000738
595.1	0.000738
601.5	0.000738
607.9	0.000738
614.3	0.000738
620.7	0.000738
627.1	0.000738
633.5	0.000738
639.9	0.000738
646.3	0.000738
652.7	0.000738
659.1	0.000738
665.5	0.000738
671.9	0.000738
678.3	0.000738
684.7	0.000738
691.1	0.000738
697.5	0.000738
703.9	0.000738
710.3	0.000738
716.7	0.000738
723.1	0.000738
729.5	0.000738
735.9	0.000738
742.3	0.000738
748.7	0.000738
755.1	0.000738
761.5	0.000738
767.9	0.000738
774.3	0.000738
780.7	0.000738
787.1	0.000738
793.5	0.000738
799.9	0.000738
806.3	0.000738
812.7	0.000738
819.1	0.000738
825.5	0.000738
831.9	0.000738
838.3	0.000738
844.7	0.000738
851.1	0.000738
857.5	0.000738
863.9	0.000738
867.1	0.000738
870.3	0.000738
873.5	0.000738
879.9	0.000738
886.3	0.000738
889.5	0.000738
892.7	0.000738
895.9	0.000738
902.3	0.000738
908.7	0.000738
911.9	0.000738
915.1	0.000738
