t(s)	Current(A)
918.3	0.000738
921.5	0.000738
924.7	0.000738
931.1	0.000738
934.3	0.000738
937.5	0.000738
940.7	0.000738
943.9	0.000738
947.1	0.000738
953.5	0.000738
959.9	0.000738
966.3	0.000738
972.7	0.000738
979.1	0.000738
985.5	0.000738
991.9	0.000738
998.3	0.000738
1000	0.000738
1006.4	0.000738
1012.8	0.000738
1019.2	0.000738
1025.6	0.000738
1028.8	0.000738
1032	0.000738
1035.2	0.000738
1038.4	0.000738
1044.8	0.000738
1051.2	0.000738
1057.6	0.000738
1064	0.000738
1070.4	0.000738
1076.8	0.000738
1083.2	0.000738
1089.6	0.000738
1096	0.000738
1099.2	0.000738
1102.4	0.000738
1108.8	0.000738
1115.2	0.000738
1121.6	0.000738
1128	0.000738
1134.4	0.000738
1140.8	0.000738
1147.2	0.000738
1153.6	0.000738
1160	0.000738
1166.4	0.000738
1169.6	0.000738
1172.8	0.000738
1176	0.000738
1182.4	0.000738
1188.8	0.000738
1195.2	0.000738
1201.6	0.000738
1208	0.000738
1214.4	0.000738
1220.8	0.000738
1227.2	0.000738
1233.6	0.000738
1240	0.000738
1243.2	0.000738
1246.4	0.000738
1249.6	0.000738
1252.8	0.000738
1259.2	0.000738
1265.6	0.000738
1272	0.000738
1278.4	0.000738
1284.8	0.000738
1291.2	0.000738
1297.6	0.000738
1304	0.000738
1310.4	0.000738
1313.6	0.000738
1316.8	0.000738
1320	0.000738
1323.2	0.000738
1326.4	0.000738
1332.8	0.000738
1339.2	0.000738
1345.6	0.000738
1352	0.000738
1358.4	0.000738
1364.8	0.000738
1371.2	0.000738
1377.6	0.000738
1384	0.000738
1390.4	0.000738
1396.8	0.000738
1403.2	0.000738
1409.6	0.000738
1416	0.000738
1422.4	0.000738
1428.8	0.000738
1435.2	0.000738
1441.6	0.000738
1448	0.000738
1454.4	0.000738
1460.8	0.000738
1467.2	0.000738
1473.6	0.000738
1480	0.000738
1483.2	0.000738
1486.4	0.000738
1492.8	0.000738
1499.2	0.000738
1505.6	0.000738
1508.8	0.000738
1512	0.000738
1515.2	0.000738
1518.4	0.000738
1524.8	0.000738
1531.2	0.000738
1534.4	0.000738
1537.6	0.000738
1540.8	0.000738
1547.2	0.000738
1553.6	0.000738
1560	0.000738
1566.4	0.000738
1572.8	0.000738
1579.2	0.000738
1585.6	0.000738
1592	0.000738
1598.4	0.000738
1604.8	0.000738
1608	0.000738
1611.2	0.000738
1617.6	0.000738
1624	0.000738
1630.4	0.000738
1636.8	0.000738
1643.2	0.000738
1649.6	0.000738
1656	0.000738
1662.4	0.000738
1668.8	0.000738
1672	0.000738
1675.2	0.000738
1681.6	0.000738
1688	0.000738
1694.4	0.000738
1700.8	0.000738
1707.2	0.000738
1713.6	0.000738
1720	0.000738
1726.4	0.000738
1732.8	0.000738
1739.2	0.000738
1745.6	0.000738
1752	0.000738
1758.4	0.000738
1764.8	0.000738
1771.2	0.000738
1777.6	0.000738
1784	0.000738
1790.4	0.000738
1796.8	0.000738
1803.2	0.000738
1809.6	0.000738
1816	0.000738
1822.4	0.000738
1828.8	0.000738
1835.2	0.000738
1841.6	0.000738
1848	0.000738
1854.4	0.000738
1860.8	0.000738
1867.2	0.000738
1873.6	0.000738
1880	0.000738
1886.4	0.000738
1892.8	0.000738
1899.2	0.000738
1905.6	0.000738
1912	0.000738
1915.2	0.000738
1921.6	0.000738
1928	0.000738
1934.4	0.000738
1937.6	0.000738
1940.8	0.000738
1944	0.000738
1950.4	0.000738
1956.8	0.000738
1963.2	0.000738
1969.6	0.000738
1976	0.000738
1982.4	0.000738
1988.8	0.000738
1995.2	0.000738
2000	0.000738
2006.4	0.000738
2012.8	0.000738
2019.2	0.000738
2025.6	0.000738
2032	0.000738
2038.4	0.000738
2044.8	0.000738
2048	0.000738
2051.2	0.000738
2054.4	0.000738
2057.6	0.000738
2064	0.000738
2070.4	0.000738
2076.8	0.000738
2080	0.000738
2086.4	0.000738
2092.8	0.000738
2096	0.000738
2102.4	0.000738
2108.8	0.000738
2115.2	0.000738
2121.6	0.000738
2124.8	0.000738
2128	0.000738
2134.4	0.000738
2140.8	0.000738
2147.2	0.000738
2153.6	0.000738
2160	0.000738
2166.4	0.000738
2172.8	0.000738
2179.2	0.000738
2185.6	0.000738
2192	0.000738
2198.4	0.000738
2204.8	0.000738
2211.2	0.000738
2217.6	0.000738
2224	0.000738
2230.4	0.000738
2233.6	0.000738
2236.8	0.000738
2243.2	0.000738
2249.6	0.000738
2256	0.000738
2262.4	0.000738
2268.8	0.000738
2275.2	0.000738
2281.6	0.000738
2288	0.000738
2294.4	0.000738
2300.8	0.000738
2307.2	0.000738
2313.6	0.000738
2320	0.000738
2326.4	0.000738
2332.8	0.000738
2339.2	0.000738
2345.6	0.000738
2352	0.000738
2358.4	0.000738
2364.8	0.000738
2368	0.000738
2374.4	0.000738
2380.8	0.000738
2387.2	0.000738
2393.6	0.000738
2400	0.000738
2406.4	0.000738
2412.8	0.000738
2419.2	0.000738
2425.6	0.000738
2432	0.000738
2438.4	0.000738
2444.8	0.000738
2451.2	0.000738
2457.6	0.000738
2464	0.000738
2470.4	0.000738
2476.8	0.000738
2483.2	0.000738
2489.6	0.000738
2496	0.000738
2502.4	0.000738
2508.8	0.000738
2515.2	0.000738
2521.6	0.000738
2528	0.000738
2531.2	0.000738
2534.4	0.000738
2537.6	0.000738
2544	0.000738
2550.4	0.000738
2556.8	0.000738
2560	0.000738
2566.4	0.000738
2572.8	0.000738
2579.2	0.000738
2585.6	0.000738
2592	0.000738
2598.4	0.000738
2604.8	0.000738
2611.2	0.000738
2617.6	0.000738
2624	0.000738
2630.4	0.000738
2636.8	0.000738
2643.2	0.000738
2649.6	0.000738
2656	0.000738
2662.4	0.000738
2668.8	0.000738
2675.2	0.000738
2681.6	0.000738
2688	0.000738
2691.2	0.000738
2697.6	0.000738
2704	0.000738
2710.4	0.000738
2716.8	0.000738
2723.2	0.000738
2729.6	0.000738
2736	0.000738
2742.4	0.000738
2748.8	0.000738
2755.2	0.000738
2761.6	0.000738
2768	0.000738
2774.4	0.000738
2780.8	0.000738
2787.2	0.000738
2793.6	0.000738
2800	0.000738
2806.4	0.000738
2812.8	0.000738
2819.2	0.000738
2825.6	0.000738
2832	0.000738
2838.4	0.000738
2844.8	0.000738
2851.2	0.000738
2857.6	0.000738
2864	0.000738
2870.4	0.000738
2876.8	0.000738
2880	0.000738
2886.4	0.000738
2892.8	0.000738
2899.2	0.000738
2905.6	0.000738
2912	0.000738
2918.4	0.000738
2924.8	0.000738
2931.2	0.000738
2937.6	0.000738
2944	0.000738
2950.4	0.000738
2956.8	0.000738
2960	0.000738
2966.4	0.000738
2972.8	0.000738
2979.2	0.000738
2985.6	0.000738
2992	0.000738
2998.4	0.000738
3000	0.000738
3006.4	0.000738
3012.8	0.000738
3019.2	0.000738
3025.6	0.000738
3032	0.000738
3038.4	0.000738
3044.8	0.000738
3051.2	0.000738
3057.6	0.000738
3064	0.000738
3070.4	0.000738
3076.8	0.000738
3083.2	0.000738
3089.6	0.000738
3096	0.000738
3102.4	0.000738
3108.8	0.000738
3115.2	0.000738
3121.6	0.000738
3128	0.000738
3134.4	0.000738
3140.8	0.000738
3147.2	0.000738
3153.6	0.000738
3160	0.000738
3166.4	0.000738
3172.8	0.000738
3179.2	0.000738
3185.6	0.000738
3192	0.000738
3198.4	0.000738
3204.8	0.000738
3211.2	0.000738
3217.6	0.000738
3224	0.000738
3230.4	0.000738
3236.8	0.000738
3243.2	0.000738
3249.6	0.000738
3256	0.000738
3262.4	0.000738
3268.8	0.000738
3272	0.000738
3275.2	0.000738
3281.6	0.000738
3288	0.000738
3294.4	0.000738
3300.8	0.000738
3307.2	0.000738
3313.6	0.000738
3320	0.000738
3326.4	0.000738
3332.8	0.000738
3339.2	0.000738
3345.6	0.000738
3352	0.000738
3355.2	0.000738
3361.6	0.000738
3368	0.000738
3374.4	0.000738
3380.8	0.000738
3387.2	0.000738
3393.6	0.000738
3400	0.000738
3406.4	0.000738
3412.8	0.000738
3419.2	0.000738
3425.6	0.000738
3432	0.000738
3438.4	0.000738
3444.8	0.000738
3451.2	0.000738
3457.6	0.000738
3464	0.000738
3470.4	0.000738
3476.8	0.000738
3483.2	0.000738
3489.6	0.000738
3496	0.000738
3502.4	0.000738
3508.8	0.000738
3515.2	0.000738
3518.4	0.000738
3524.8	0.000738
3531.2	0.000738
3537.6	0.000738
3544	0.000738
3550.4	0.000738
3556.8	0.000738
3563.2	0.000738
3569.6	0.000738
3576	0.000738
3582.4	0.000738
3588.8	0.000738
3595.2	0.000738
3601.6	0.000738
3608	0.000738
3614.4	0.000738
3620.8	0.000738
3627.2	0.000738
3633.6	0.000738
3640	0.000738
3646.4	0.000738
3652.8	0.000738
3659.2	0.000738
3665.6	0.000738
3672	0.000738
3678.4	0.000738
3684.8	0.000738
3691.2	0.000738
3697.6	0.000738
3704	0.000738
3710.4	0.000738
3716.8	0.000738
3723.2	0.000738
3729.6	0.000738
3736	0.000738
3742.4	0.000738
3748.8	0.000738
3752	0.000738
3758.4	0.000738
3764.8	0.000738
3771.2	0.000738
3777.6	0.000738
3784	0.000738
3790.4	0.000738
3796.8	0.000738
3803.2	0.000738
3809.6	0.000738
3816	0.000738
3822.4	0.000738
3828.8	0.000738
3835.2	0.000738
3841.6	0.000738
3848	0.000738
3854.4	0.000738
3860.8	0.000738
3867.2	0.000738
3870.4	0.000738
3873.6	0.000738
3880	0.000738
3886.4	0.000738
3892.8	0.000738
3899.2	0.000738
3905.6	0.000738
3912	0.000738
3918.4	0.000738
3924.8	0.000738
3931.2	0.000738
3937.6	0.000738
3944	0.000738
3950.4	0.000738
3956.8	0.000738
3963.2	0.000738
3969.6	0.000738
3976	0.000738
3982.4	0.000738
3988.8	0.000738
3995.2	0.000738
4000	0.000738
4006.4	0.000738
4012.8	0.000738
4019.2	0.000738
4025.6	0.000738
4032	0.000738
4038.4	0.000738
4044.8	0.000738
4051.2	0.000738
4057.6	0.000738
4064	0.000738
4070.4	0.000738
4076.8	0.000738
4083.2	0.000738
4089.6	0.000738
4096	0.000738
4102.4	0.000738
4108.8	0.000738
4115.2	0.000738
4121.6	0.000738
4128	0.000738
4134.4	0.000738
4140.8	0.000738
4147.2	0.000738
4153.6	0.000738
4160	0.000738
4166.4	0.000738
4172.8	0.000738
4179.2	0.000738
4185.6	0.000738
4188.8	0.000738
4195.2	0.000738
4201.6	0.000738
4208	0.000738
4214.4	0.000738
4220.8	0.000738
4227.2	0.000738
4233.6	0.000738
4240	0.000738
4246.4	0.000738
4252.8	0.000738
4259.2	0.000738
4265.6	0.000738
4272	0.000738
4278.4	0.000738
4284.8	0.000738
4291.2	0.000738
4297.6	0.000738
4304	0.000738
4310.4	0.000738
4316.8	0.000738
4323.2	0.000738
4329.6	0.000738
4336	0.000738
4342.4	0.000738
4348.8	0.000738
4355.2	0.000738
4361.6	0.000738
4368	0.000738
4374.4	0.000738
4380.8	0.000738
4387.2	0.000738
4393.6	0.000738
4396.8	0.000738
4400	0.000738
4406.4	0.000738
4412.8	0.000738
4419.2	0.000738
4425.6	0.000738
4432	0.000738
4438.4	0.000738
4444.8	0.000738
4451.2	0.000738
4457.6	0.000738
4464	0.000738
4470.4	0.000738
4476.8	0.000738
4483.2	0.000738
4489.6	0.000738
4496	0.000738
4502.4	0.000738
4508.8	0.000738
4515.2	0.000738
4521.6	0.000738
4528	0.000738
4534.4	0.000738
4540.8	0.000738
4547.2	0.000738
4553.6	0.000738
4560	0.000738
4566.4	0.000738
4572.8	0.000738
4579.2	0.000738
4585.6	0.000738
4592	0.000738
4598.4	0.000738
4604.8	0.000738
4611.2	0.000738
4617.6	0.000738
4624	0.000738
4630.4	0.000738
4636.8	0.000738
4643.2	0.000738
4649.6	0.000738
4656	0.000738
4662.4	0.000738
4668.8	0.000738
4675.2	0.000738
4681.6	0.000738
4688	0.000738
4694.4	0.000738
4700.8	0.000738
4707.2	0.000738
4713.6	0.000738
4720	0.000738
4726.4	0.000738
4732.8	0.000738
4739.2	0.000738
4745.6	0.000738
4752	0.000738
4758.4	0.000738
4764.8	0.000738
4771.2	0.000738
4777.6	0.000738
4784	0.000738
4790.4	0.000738
4796.8	0.000738
4803.2	0.000738
4809.6	0.000738
4816	0.000738
4822.4	0.000738
4828.8	0.000738
4835.2	0.000738
4841.6	0.000738
4848	0.000738
4854.4	0.000738
4860.8	0.000738
4867.2	0.000738
4873.6	0.000738
4880	0.000738
4886.4	0.000738
4892.8	0.000738
4899.2	0.000738
4905.6	0.000738
4912	0.000738
4918.4	0.000738
4924.8	0.000738
4931.2	0.000738
4937.6	0.000738
4944	0.000738
4950.4	0.000738
4956.8	0.000738
4963.2	0.000738
4969.6	0.000738
4976	0.000738
4982.4	0.000738
4988.8	0.000738
4995.2	0.000738
5000	0.000738
5006.4	0.000738
5012.8	0.000738
5019.2	0.000738
5025.6	0.000738
5032	0.000738
5038.4	0.000738
5044.8	0.000738
5051.2	0.000738
5057.6	0.000738
5064	0.000738
5070.4	0.000738
5076.8	0.000738
5083.2	0.000738
5089.6	0.000738
5096	0.000738
5102.4	0.000738
5108.8	0.000738
5115.2	0.000738
5121.6	0.000738
5128	0.000738
5134.4	0.000738
5140.8	0.000738
5147.2	0.000738
5153.6	0.000738
5160	0.000738
5166.4	0.000738
5172.8	0.000738
5179.2	0.000738
5185.6	0.000738
5192	0.000738
5198.4	0.000738
5204.8	0.000738
5211.2	0.000738
5217.6	0.000738
5224	0.000738
5230.4	0.000738
5236.8	0.000738
5243.2	0.000738
5249.6	0.000738
5256	0.000738
5262.4	0.000738
5268.8	0.000738
5275.2	0.000738
5281.6	0.000738
5288	0.000738
5294.4	0.000738
5300.8	0.000738
5307.2	0.000738
5313.6	0.000738
5320	0.000738
5326.4	0.000738
5332.8	0.000738
5339.2	0.000738
5345.6	0.000738
5352	0.000738
5358.4	0.000738
5364.8	0.000738
5371.2	0.000738
5377.6	0.000738
5384	0.000738
5390.4	0.000738
5396.8	0.000738
5403.2	0.000738
5409.6	0.000738
5416	0.000738
5422.4	0.000738
5428.8	0.000738
5432	0.000738
5435.2	0.000738
5441.6	0.000738
5448	0.000738
5454.4	0.000738
5460.8	0.000738
5467.2	0.000738
5473.6	0.000738
5480	0.000738
5486.4	0.000738
5492.8	0.000738
5499.2	0.000738
5505.6	0.000738
5512	0.000738
5518.4	0.000738
5524.8	0.000738
5531.2	0.000738
5537.6	0.000738
5544	0.000738
5550.4	0.000738
5556.8	0.000738
5563.2	0.000738
5569.6	0.000738
5576	0.000738
5582.4	0.000738
5588.8	0.000738
5595.2	0.000738
5601.6	0.000738
5608	0.000738
5614.4	0.000738
5620.8	0.000738
5627.2	0.000738
5633.6	0.000738
5640	0.000738
5646.4	0.000738
5652.8	0.000738
5659.2	0.000738
5665.6	0.000738
5672	0.000738
5678.4	0.000738
5684.8	0.000738
5691.2	0.000738
5697.6	0.000738
5704	0.000738
5710.4	0.000738
5716.8	0.000738
5723.2	0.000738
5729.6	0.000738
5736	0.000738
5742.4	0.000738
5748.8	0.000738
5755.2	0.000738
5761.6	0.000738
5768	0.000738
5774.4	0.000738
5780.8	0.000738
5787.2	0.000738
5793.6	0.000738
5800	0.000738
5806.4	0.000738
5812.8	0.000738
5819.2	0.000738
5825.6	0.000738
5832	0.000738
5838.4	0.000738
5844.8	0.000738
5851.2	0.000738
5857.6	0.000738
5864	0.000738
5870.4	0.000738
5876.8	0.000738
5883.2	0.000738
5889.6	0.000738
5896	0.000738
5902.4	0.000738
5908.8	0.000738
5915.2	0.000738
5921.6	0.000738
5928	0.000738
5934.4	0.000738
5940.8	0.000738
5947.2	0.000738
5953.6	0.000738
5960	0.000738
5966.4	0.000738
5972.8	0.000738
5979.2	0.000738
5985.6	0.000738
5992	0.000738
5998.4	0.000738
6000	0.000738
6006.4	0.000738
6012.8	0.000738
6019.2	0.000738
6025.6	0.000738
6032	0.000738
6038.4	0.000738
6044.8	0.000738
6051.2	0.000738
6057.6	0.000738
6064	0.000738
6070.4	0.000738
6076.8	0.000738
6083.2	0.000738
6089.6	0.000738
6092.8	0.000738
6096	0.000738
6102.4	0.000738
6108.8	0.000738
6115.2	0.000738
6121.6	0.000738
6128	0.000738
6134.4	0.000738
6140.8	0.000738
6147.2	0.000738
6153.6	0.000738
6160	0.000738
6166.4	0.000738
6172.8	0.000738
6179.2	0.000738
6185.6	0.000738
6192	0.000738
6198.4	0.000738
6204.8	0.000738
6211.2	0.000738
6217.6	0.000738
6224	0.000738
6230.4	0.000738
6236.8	0.000738
6243.2	0.000738
6249.6	0.000738
6256	0.000738
6262.4	0.000738
6268.8	0.000738
6275.2	0.000738
6281.6	0.000738
6288	0.000738
6294.4	0.000738
6300.8	0.000738
6307.2	0.000738
6313.6	0.000738
6320	0.000738
6326.4	0.000738
6332.8	0.000738
6339.2	0.000738
6345.6	0.000738
6352	0.000738
6358.4	0.000738
6364.8	0.000738
6371.2	0.000738
6377.6	0.000738
6384	0.000738
6390.4	0.000738
6396.8	0.000738
6403.2	0.000738
6409.6	0.000738
6416	0.000738
6422.4	0.000738
6428.8	0.000738
6435.2	0.000738
6441.6	0.000738
6448	0.000738
6454.4	0.000738
6460.8	0.000738
6467.2	0.000738
6473.6	0.000738
6480	0.000738
6486.4	0.000738
6492.8	0.000738
6499.2	0.000738
6505.6	0.000738
6512	0.000738
6518.4	0.000738
6524.8	0.000738
6531.2	0.000738
6537.6	0.000738
6544	0.000738
6550.4	0.000738
6556.8	0.000738
6563.2	0.000738
6569.6	0.000738
6576	0.000738
6582.4	0.000738
6588.8	0.000738
6595.2	0.000738
6601.6	0.000738
6608	0.000738
6614.4	0.000738
6620.8	0.000738
6627.2	0.000738
6633.6	0.000738
6640	0.000738
6646.4	0.000738
6652.8	0.000738
6659.2	0.000738
6665.6	0.000738
6672	0.000738
6678.4	0.000738
6684.8	0.000738
6691.2	0.000738
6697.6	0.000738
6704	0.000738
6710.4	0.000738
6716.8	0.000738
6723.2	0.000738
6729.6	0.000738
6736	0.000738
6742.4	0.000738
6748.8	0.000738
6755.2	0.000738
6761.6	0.000738
6768	0.000738
6774.4	0.000738
6780.8	0.000738
6787.2	0.000738
6790.4	0.000738
6793.6	0.000738
6800	0.000738
6806.4	0.000738
6812.8	0.000738
6819.2	0.000738
6825.6	0.000738
6832	0.000738
6838.4	0.000738
6844.8	0.000738
6851.2	0.000738
6857.6	0.000738
6864	0.000738
6870.4	0.000738
6876.8	0.000738
6883.2	0.000738
6889.6	0.000738
6896	0.000738
6899.2	0.000738
6905.6	0.000738
6912	0.000738
6918.4	0.000738
6924.8	0.000738
6931.2	0.000738
6934.4	0.000738
6940.8	0.000738
6947.2	0.000738
6953.6	0.000738
6960	0.000738
6966.4	0.000738
6972.8	0.000738
6979.2	0.000738
6985.6	0.000738
6992	0.000738
6998.4	0.000738
7000	0.000738
7006.4	0.000738
7012.8	0.000738
7019.2	0.000738
7025.6	0.000738
7032	0.000738
7038.4	0.000738
7044.8	0.000738
7051.2	0.000738
7057.6	0.000738
7064	0.000738
7070.4	0.000738
7076.8	0.000738
7083.2	0.000738
7089.6	0.000738
7096	0.000738
7102.4	0.000738
7108.8	0.000738
7115.2	0.000738
7121.6	0.000738
7128	0.000738
7134.4	0.000738
7140.8	0.000738
7147.2	0.000738
7153.6	0.000738
7160	0.000738
7166.4	0.000738
7172.8	0.000738
7176	0.000738
7179.2	0.000738
7185.6	0.000738
7192	0.000738
7198.4	0.000738
7204.8	0.000738
7211.2	0.000738
7217.6	0.000738
7224	0.000738
7230.4	0.000738
7236.8	0.000738
7243.2	0.000738
7249.6	0.000738
7256	0.000738
7262.4	0.000738
7268.8	0.000738
7275.2	0.000738
7281.6	0.000738
7288	0.000738
7294.4	0.000738
7300.8	0.000738
7307.2	0.000738
7313.6	0.000738
7320	0.000738
7326.4	0.000738
7332.8	0.000738
7339.2	0.000738
7345.6	0.000738
7352	0.000738
7358.4	0.000738
7364.8	0.000738
7371.2	0.000738
7377.6	0.000738
7384	0.000738
7390.4	0.000738
7396.8	0.000738
7403.2	0.000738
7409.6	0.000738
7416	0.000738
7422.4	0.000738
7428.8	0.000738
7435.2	0.000738
7441.6	0.000738
7448	0.000738
7454.4	0.000738
7460.8	0.000738
7467.2	0.000738
7473.6	0.000738
7480	0.000738
7486.4	0.000738
7492.8	0.000738
7499.2	0.000738
7505.6	0.000738
7512	0.000738
7518.4	0.000738
7524.8	0.000738
7531.2	0.000738
7537.6	0.000738
7544	0.000738
7550.4	0.000738
7556.8	0.000738
7563.2	0.000738
7569.6	0.000738
7576	0.000738
7582.4	0.000738
7588.8	0.000738
7595.2	0.000738
7601.6	0.000738
7608	0.000738
7614.4	0.000738
7620.8	0.000738
7627.2	0.000738
7633.6	0.000738
7640	0.000738
7646.4	0.000738
7652.8	0.000738
7659.2	0.000738
7665.6	0.000738
7672	0.000738
7678.4	0.000738
7684.8	0.000738
7691.2	0.000738
7697.6	0.000738
7704	0.000738
7710.4	0.000738
7716.8	0.000738
7723.2	0.000738
7729.6	0.000738
7736	0.000738
7742.4	0.000738
7748.8	0.000738
7755.2	0.000738
7761.6	0.000738
7768	0.000738
7774.4	0.000738
7780.8	0.000738
7787.2	0.000738
7793.6	0.000738
7800	0.000738
7806.4	0.000738
7812.8	0.000738
7819.2	0.000738
7825.6	0.000738
7832	0.000738
7838.4	0.000738
7844.8	0.000738
7851.2	0.000738
7857.6	0.000738
7864	0.000738
7870.4	0.000738
7876.8	0.000738
7883.2	0.000738
7889.6	0.000738
7896	0.000738
7902.4	0.000738
7908.8	0.000738
7915.2	0.000738
7921.6	0.000738
7928	0.000738
7934.4	0.000738
7940.8	0.000738
7947.2	0.000738
7953.6	0.000738
7960	0.000738
7966.4	0.000738
7969.6	0.000738
7972.8	0.000738
7979.2	0.000738
7985.6	0.000738
7992	0.000738
7998.4	0.000738
8000	0.000738
8006.4	0.000738
8012.8	0.000738
8019.2	0.000738
8025.6	0.000738
8032	0.000738
8038.4	0.000738
8044.8	0.000738
8051.2	0.000738
8057.6	0.000738
8064	0.000738
8070.4	0.000738
8076.8	0.000738
8083.2	0.000738
8089.6	0.000738
8096	0.000738
8102.4	0.000738
8108.8	0.000738
8115.2	0.000738
8121.6	0.000738
8128	0.000738
8134.4	0.000738
8140.8	0.000738
8147.2	0.000738
8153.6	0.000738
8160	0.000738
8166.4	0.000738
8172.8	0.000738
8179.2	0.000738
8185.6	0.000738
8192	0.000738
8198.4	0.000738
8204.8	0.000738
8211.2	0.000738
8217.6	0.000738
8224	0.000738
8230.4	0.000738
8236.8	0.000738
8243.2	0.000738
8249.6	0.000738
8256	0.000738
8262.4	0.000738
8268.8	0.000738
8275.2	0.000738
8281.6	0.000738
8284.8	0.000738
8291.2	0.000738
8297.6	0.000738
8304	0.000738
8310.4	0.000738
8316.8	0.000738
8323.2	0.000738
8329.6	0.000738
8336	0.000738
8342.4	0.000738
8348.8	0.000738
8355.2	0.000738
8361.6	0.000738
8368	0.000738
8374.4	0.000738
8380.8	0.000738
8387.2	0.000738
8393.6	0.000738
8400	0.000738
8406.4	0.000738
8412.8	0.000738
8419.2	0.000738
8425.6	0.000738
8432	0.000738
8438.4	0.000738
8444.8	0.000738
8451.2	0.000738
8457.6	0.000738
8464	0.000738
8470.4	0.000738
8476.8	0.000738
8483.2	0.000738
8489.6	0.000738
8496	0.000738
8502.4	0.000738
8508.8	0.000738
8515.2	0.000738
8521.6	0.000738
8528	0.000738
8534.4	0.000738
8540.8	0.000738
8547.2	0.000738
8553.6	0.000738
8560	0.000738
8566.4	0.000738
8572.8	0.000738
8579.2	0.000738
8585.6	0.000738
8592	0.000738
8598.4	0.000738
8604.8	0.000738
8611.2	0.000738
8617.6	0.000738
8624	0.000738
8630.4	0.000738
8636.8	0.000738
8643.2	0.000738
8649.6	0.000738
8656	0.000738
8659.2	0.000738
8662.4	0.000738
8668.8	0.000738
8675.2	0.000738
8681.6	0.000738
8688	0.000738
8694.4	0.000738
8700.8	0.000738
8707.2	0.000738
8713.6	0.000738
8720	0.000738
8726.4	0.000738
8732.8	0.000738
8739.2	0.000738
8745.6	0.000738
8752	0.000738
8758.4	0.000738
8764.8	0.000738
8771.2	0.000738
8777.6	0.000738
8784	0.000738
8790.4	0.000738
8796.8	0.000738
8803.2	0.000738
8809.6	0.000738
8816	0.000738
8822.4	0.000738
8828.8	0.000738
8835.2	0.000738
8841.6	0.000738
8848	0.000738
8854.4	0.000738
8860.8	0.000738
8867.2	0.000738
8873.6	0.000738
8880	0.000738
8886.4	0.000738
8892.8	0.000738
8899.2	0.000738
8905.6	0.000738
8912	0.000738
8918.4	0.000738
8921.6	0.000738
8924.8	0.000738
8931.2	0.000738
8937.6	0.000738
8944	0.000738
8950.4	0.000738
8956.8	0.000738
8963.2	0.000738
