x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0.0037931	0	8.10096e-12	8.10094e-12	8.10093e-12	8.10091e-12	8.1009e-12	8.10089e-12	8.10088e-12	8.10087e-12	8.10087e-12	8.10087e-12	8.10087e-12	8.10087e-12	8.10088e-12	8.10087e-12	8.10087e-12	8.10086e-12	8.10086e-12	8.10085e-12	8.10084e-12	8.10084e-12	8.10085e-12	8.10087e-12	8.10088e-12	8.10089e-12	8.10088e-12	8.10088e-12	8.10087e-12	8.10086e-12	8.10086e-12	8.10086e-12	8.10087e-12	8.10089e-12	8.10099e-12	8.10072e-12	8.10071e-12
0.00413793	0	9.64081e-12	9.64079e-12	9.64077e-12	9.64075e-12	9.64074e-12	9.64072e-12	9.64071e-12	9.6407e-12	9.6407e-12	9.6407e-12	9.6407e-12	9.64071e-12	9.64071e-12	9.64071e-12	9.64071e-12	9.6407e-12	9.64069e-12	9.64068e-12	9.64067e-12	9.64067e-12	9.64068e-12	9.6407e-12	9.64072e-12	9.64072e-12	9.64072e-12	9.64071e-12	9.64071e-12	9.6407e-12	9.64069e-12	9.64069e-12	9.6407e-12	9.64073e-12	9.64084e-12	9.64052e-12	9.64051e-12
0.00448276	0	1.13146e-11	1.13145e-11	1.13145e-11	1.13145e-11	1.13145e-11	1.13145e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13145e-11	1.13145e-11	1.13145e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13144e-11	1.13145e-11	1.13146e-11	1.13142e-11	1.13142e-11
0.00482759	0	1.31222e-11	1.31222e-11	1.31222e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.3122e-11	1.3122e-11	1.3122e-11	1.3122e-11	1.3122e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.31221e-11	1.3122e-11	1.3122e-11	1.31221e-11	1.31221e-11	1.31223e-11	1.31218e-11	1.31218e-11
0.00517241	0	1.50638e-11	1.50637e-11	1.50637e-11	1.50637e-11	1.50637e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50635e-11	1.50635e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50636e-11	1.50638e-11	1.50633e-11	1.50633e-11
0.00551724	0	1.71392e-11	1.71392e-11	1.71391e-11	1.71391e-11	1.71391e-11	1.71391e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.71391e-11	1.71391e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.7139e-11	1.71391e-11	1.71393e-11	1.71387e-11	1.71387e-11
0.00586207	0	1.93486e-11	1.93485e-11	1.93485e-11	1.93485e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93483e-11	1.93483e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93484e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93483e-11	1.93484e-11	1.93486e-11	1.9348e-11	1.9348e-11
0.0062069	0	2.16918e-11	2.16918e-11	2.16917e-11	2.16917e-11	2.16917e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16915e-11	2.16915e-11	2.16915e-11	2.16915e-11	2.16915e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16916e-11	2.16915e-11	2.16915e-11	2.16916e-11	2.16916e-11	2.16919e-11	2.16912e-11	2.16911e-11
0.00655172	0	2.4169e-11	2.41689e-11	2.41689e-11	2.41688e-11	2.41688e-11	2.41688e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41686e-11	2.41686e-11	2.41686e-11	2.41686e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41687e-11	2.41688e-11	2.41691e-11	2.41682e-11	2.41682e-11
0.00689655	0	2.678e-11	2.678e-11	2.67799e-11	2.67799e-11	2.67798e-11	2.67798e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67796e-11	2.67796e-11	2.67797e-11	2.67797e-11	2.67798e-11	2.67798e-11	2.67798e-11	2.67798e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67797e-11	2.67798e-11	2.67801e-11	2.67792e-11	2.67792e-11
0.00724138	0	2.9525e-11	2.95249e-11	2.95249e-11	2.95248e-11	2.95248e-11	2.95247e-11	2.95247e-11	2.95246e-11	2.95246e-11	2.95246e-11	2.95246e-11	2.95247e-11	2.95247e-11	2.95247e-11	2.95247e-11	2.95246e-11	2.95246e-11	2.95246e-11	2.95245e-11	2.95245e-11	2.95246e-11	2.95246e-11	2.95247e-11	2.95247e-11	2.95247e-11	2.95247e-11	2.95247e-11	2.95246e-11	2.95246e-11	2.95246e-11	2.95246e-11	2.95247e-11	2.95251e-11	2.95241e-11	2.95241e-11
0.00758621	0	3.24038e-11	3.24038e-11	3.24037e-11	3.24036e-11	3.24036e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24034e-11	3.24034e-11	3.24034e-11	3.24034e-11	3.24034e-11	3.24034e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24035e-11	3.24034e-11	3.24034e-11	3.24034e-11	3.24035e-11	3.24036e-11	3.24039e-11	3.24029e-11	3.24028e-11
0.00793103	0	3.54166e-11	3.54165e-11	3.54164e-11	3.54164e-11	3.54163e-11	3.54163e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54161e-11	3.54161e-11	3.54161e-11	3.54161e-11	3.54161e-11	3.54162e-11	3.54162e-11	3.54163e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54162e-11	3.54161e-11	3.54161e-11	3.54162e-11	3.54163e-11	3.54167e-11	3.54155e-11	3.54155e-11
0.00827586	0	3.85632e-11	3.85631e-11	3.85631e-11	3.8563e-11	3.85629e-11	3.85629e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85627e-11	3.85627e-11	3.85627e-11	3.85627e-11	3.85627e-11	3.85628e-11	3.85628e-11	3.85629e-11	3.85629e-11	3.85628e-11	3.85628e-11	3.85628e-11	3.85627e-11	3.85627e-11	3.85628e-11	3.85629e-11	3.85634e-11	3.85621e-11	3.8562e-11
0.00862069	0	4.18438e-11	4.18437e-11	4.18436e-11	4.18435e-11	4.18435e-11	4.18434e-11	4.18434e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18434e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18432e-11	4.18432e-11	4.18432e-11	4.18432e-11	4.18432e-11	4.18433e-11	4.18434e-11	4.18434e-11	4.18434e-11	4.18434e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18433e-11	4.18434e-11	4.18439e-11	4.18425e-11	4.18425e-11
0.00896552	0	4.52582e-11	4.52581e-11	4.5258e-11	4.5258e-11	4.52579e-11	4.52578e-11	4.52578e-11	4.52577e-11	4.52577e-11	4.52577e-11	4.52577e-11	4.52578e-11	4.52578e-11	4.52578e-11	4.52577e-11	4.52577e-11	4.52577e-11	4.52576e-11	4.52576e-11	4.52576e-11	4.52576e-11	4.52577e-11	4.52578e-11	4.52578e-11	4.52578e-11	4.52578e-11	4.52577e-11	4.52577e-11	4.52577e-11	4.52577e-11	4.52577e-11	4.52579e-11	4.52584e-11	4.52569e-11	4.52568e-11
0.00931034	0	4.88066e-11	4.88065e-11	4.88064e-11	4.88063e-11	4.88062e-11	4.88061e-11	4.88061e-11	4.8806e-11	4.8806e-11	4.8806e-11	4.8806e-11	4.88061e-11	4.88061e-11	4.88061e-11	4.88061e-11	4.8806e-11	4.8806e-11	4.88059e-11	4.88059e-11	4.88059e-11	4.88059e-11	4.8806e-11	4.88061e-11	4.88061e-11	4.88061e-11	4.88061e-11	4.88061e-11	4.8806e-11	4.8806e-11	4.8806e-11	4.8806e-11	4.88062e-11	4.88068e-11	4.88051e-11	4.88051e-11
0.00965517	0	5.24888e-11	5.24887e-11	5.24886e-11	5.24885e-11	5.24884e-11	5.24884e-11	5.24883e-11	5.24883e-11	5.24882e-11	5.24882e-11	5.24883e-11	5.24883e-11	5.24883e-11	5.24883e-11	5.24883e-11	5.24882e-11	5.24882e-11	5.24881e-11	5.24881e-11	5.24881e-11	5.24881e-11	5.24882e-11	5.24883e-11	5.24884e-11	5.24883e-11	5.24883e-11	5.24883e-11	5.24882e-11	5.24882e-11	5.24882e-11	5.24882e-11	5.24884e-11	5.2489e-11	5.24873e-11	5.24872e-11
0.01	0	5.6305e-11	5.63049e-11	5.63048e-11	5.63047e-11	5.63046e-11	5.63045e-11	5.63044e-11	5.63044e-11	5.63043e-11	5.63043e-11	5.63044e-11	5.63044e-11	5.63044e-11	5.63044e-11	5.63044e-11	5.63043e-11	5.63043e-11	5.63042e-11	5.63042e-11	5.63042e-11	5.63042e-11	5.63043e-11	5.63044e-11	5.63045e-11	5.63045e-11	5.63044e-11	5.63044e-11	5.63043e-11	5.63043e-11	5.63043e-11	5.63043e-11	5.63045e-11	5.63052e-11	5.63033e-11	5.63033e-11
0.641579	0	2.20745e-05	2.20744e-05	2.20744e-05	2.20743e-05	2.20743e-05	2.20743e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20741e-05	2.20741e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20743e-05	2.20743e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20742e-05	2.20743e-05	2.20746e-05	2.20738e-05	2.20738e-05
1.27316	0	4.41499e-05	4.41498e-05	4.41497e-05	4.41496e-05	4.41496e-05	4.41495e-05	4.41495e-05	4.41494e-05	4.41494e-05	4.41494e-05	4.41494e-05	4.41494e-05	4.41495e-05	4.41495e-05	4.41494e-05	4.41494e-05	4.41493e-05	4.41493e-05	4.41493e-05	4.41493e-05	4.41493e-05	4.41494e-05	4.41495e-05	4.41495e-05	4.41495e-05	4.41495e-05	4.41494e-05	4.41494e-05	4.41494e-05	4.41494e-05	4.41494e-05	4.41496e-05	4.41501e-05	4.41486e-05	4.41486e-05
1.90474	0	6.62264e-05	6.62262e-05	6.62261e-05	6.6226e-05	6.62259e-05	6.62258e-05	6.62257e-05	6.62257e-05	6.62256e-05	6.62256e-05	6.62257e-05	6.62257e-05	6.62257e-05	6.62257e-05	6.62257e-05	6.62256e-05	6.62256e-05	6.62255e-05	6.62254e-05	6.62254e-05	6.62255e-05	6.62257e-05	6.62258e-05	6.62258e-05	6.62258e-05	6.62257e-05	6.62257e-05	6.62256e-05	6.62256e-05	6.62256e-05	6.62257e-05	6.62259e-05	6.62267e-05	6.62243e-05	6.62244e-05
2.53632	0	8.83039e-05	8.83037e-05	8.83036e-05	8.83034e-05	8.83033e-05	8.83031e-05	8.8303e-05	8.8303e-05	8.83029e-05	8.83029e-05	8.8303e-05	8.8303e-05	8.8303e-05	8.8303e-05	8.8303e-05	8.83029e-05	8.83028e-05	8.83027e-05	8.83027e-05	8.83027e-05	8.83028e-05	8.8303e-05	8.83031e-05	8.83031e-05	8.83031e-05	8.83031e-05	8.8303e-05	8.83029e-05	8.83028e-05	8.83028e-05	8.83029e-05	8.83032e-05	8.83044e-05	8.83011e-05	8.83012e-05
3.16789	0	0.000110383	0.000110382	0.000110382	0.000110382	0.000110382	0.000110382	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110382	0.000110382	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110381	0.000110382	0.000110383	0.000110379	0.000110379
3.79947	0	0.000132462	0.000132462	0.000132462	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.00013246	0.00013246	0.00013246	0.00013246	0.00013246	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132461	0.000132463	0.000132458	0.000132458
4.43105	0	0.000154543	0.000154543	0.000154542	0.000154542	0.000154542	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154541	0.000154542	0.000154544	0.000154538	0.000154538
5.06263	0	0.000176625	0.000176624	0.000176624	0.000176624	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176622	0.000176622	0.000176622	0.000176622	0.000176622	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176623	0.000176622	0.000176622	0.000176623	0.000176623	0.000176626	0.000176619	0.000176619
5.69421	0	0.000198707	0.000198707	0.000198707	0.000198706	0.000198706	0.000198706	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198706	0.000198706	0.000198706	0.000198706	0.000198705	0.000198705	0.000198705	0.000198705	0.000198705	0.000198706	0.000198709	0.000198701	0.000198701
6.32579	0	0.000220791	0.000220791	0.00022079	0.00022079	0.00022079	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220788	0.000220788	0.000220788	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.000220789	0.00022079	0.000220793	0.000220784	0.000220785
6.95737	0	0.000242876	0.000242876	0.000242875	0.000242875	0.000242875	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242873	0.000242873	0.000242873	0.000242873	0.000242873	0.000242873	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242874	0.000242873	0.000242873	0.000242873	0.000242874	0.000242875	0.000242878	0.000242868	0.000242869
