x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0.00344828	0	-3.77673e-05	-3.76729e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73138e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71115e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77143e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.0037931	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71115e-05	-3.71234e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00413793	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71066e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82852e-05	-3.84304e-05	-3.84502e-05
0.00448276	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72846e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84502e-05
0.00482759	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.7541e-05	-3.76238e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84502e-05
0.00517241	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84502e-05
0.00551724	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72637e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84502e-05
0.00586207	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72636e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84501e-05
0.0062069	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72636e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.7398e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84501e-05
0.00655172	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.7507e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72636e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.73979e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81554e-05	-3.82851e-05	-3.84304e-05	-3.84501e-05
0.00689655	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.75069e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72636e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.7142e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.73979e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81553e-05	-3.82851e-05	-3.84303e-05	-3.84501e-05
0.00724138	0	-3.77673e-05	-3.76728e-05	-3.75861e-05	-3.75069e-05	-3.74353e-05	-3.73709e-05	-3.73137e-05	-3.72636e-05	-3.72206e-05	-3.71844e-05	-3.71551e-05	-3.71327e-05	-3.71171e-05	-3.71084e-05	-3.71065e-05	-3.71115e-05	-3.71233e-05	-3.71419e-05	-3.71674e-05	-3.71996e-05	-3.72386e-05	-3.72845e-05	-3.73376e-05	-3.73979e-05	-3.74657e-05	-3.75409e-05	-3.76237e-05	-3.77142e-05	-3.78125e-05	-3.79187e-05	-3.8033e-05	-3.81553e-05	-3.82851e-05	-3.84303e-05	-3.84501e-05
