r(x_rel=0.25)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
2.88	47023.3	47023.3	47021.4	46996.6	46904	46641.8	45786.2	43646.1	41988.6	40871.5	39966.1	39144.5	38340.3	37506.5	36632.7	35702.5	34678.9	33572.8	32460.2	31401.4	30403.5	29464.6	28579	27728.7	26895.4	26060.9	25207.8	24325.1	23416.5	22500.6	21600.9	20736	19920	19167.8	18495.7	18411.9
3.06	47023.3	47023.3	47018.3	46972.1	46817.3	46361.5	44850.3	42799.7	41484.5	40509.1	39672.8	38889.5	38108	37286.8	36409.9	35464.4	34431.5	33344.3	32276.4	31265.7	30305.1	29387.8	28511	27662.2	26826.2	25987.2	25130	24246.5	23342.3	22434.7	21543.1	20682.5	19865.7	19108.1	18427.5	18342.5
3.24	47023.3	47023.3	47011.1	46927.4	46664.8	45826.9	43777.4	42147.7	41053.2	40175.6	39389.8	38634.4	37867.6	37052.4	36169	35209.7	34175.8	33116.9	32095.9	31130.9	30204.8	29307.8	28439.3	27591.4	26752.3	25908.5	25047.4	24163.7	23264.7	22365.9	21482.4	20625.7	19807.4	19043.1	18352.1	18265.7
3.42	47023.3	47023.2	46995.2	46846.5	46383.8	44901.5	42907	41619.9	40670.3	39862	39112.8	38376.3	37617.4	36802.2	35910	34940.5	33915.5	32892.7	31919.5	30997.3	30103.1	29224.8	28363.7	27516.1	26673.5	25824.7	24960	24076.9	23183.9	22294.3	21418.8	20565.6	19744.9	18972.3	18268.7	18180.4
3.6	47023.3	47022.4	46961.9	46698.3	45841.5	43823.6	42236.3	41171.3	40320.2	39561.6	38837.9	38112.7	37355.4	36535.2	35633.3	34660.1	33654.4	32673.6	31747.3	30865	29999.8	29138.7	28284.2	27436.4	26589.7	25735.7	24867.8	23986.3	23100.2	22220	21352.3	20502.1	19677.8	18895	18175.9	18085.5
3.78	47023.3	47019.2	46894.6	46416	44897.3	42943.6	41695.3	40775	39992.7	39269	38561.8	37841.2	37079.8	36250.7	35340.6	34372.3	33396	32460.8	31579.7	30734	29895.3	29049.7	28200.8	27351.9	26500.7	25641.6	24771	23892	23013.6	22143.2	21283.1	20435	19605.9	18810.4	18072.3	17979.2
3.96	47023.3	47007.9	46760.4	45855.1	43805.8	42265.5	41236.8	40414.1	39680	38979.9	38281.4	37559.1	36788.9	35948.8	35034.9	34081.8	33143.2	32255	31416.7	30604.3	29789.5	28957.7	28113.4	27262.8	26406.5	25542.2	24669.6	23794.3	22924.5	22064	21211	20364.3	19528.7	18717.6	17955.7	17859.1
4.14	47023.3	46974.7	46487.2	44864.8	42922.6	41719.1	40832.6	40077.1	39376.4	38690.6	37993.7	37264.1	36481.3	35630.9	34720.3	33793	32898.1	32056.6	31258	30476	29682.4	28862.7	28021.8	27168.6	26306.8	25437.5	24563.9	23693.5	22833	21982.5	21136.2	20289.8	19445.7	18615.2	17823.2	17722.2
4.32	47023.3	46887	45909.5	43742.2	42244	41256.2	40465	39756.1	39077	38397.4	37695.8	36953.9	36156.7	35299.4	34401.9	33510	32662.2	31865.6	31103.5	30348.8	29574.1	28764.7	27926.1	27069.4	26201.6	25327.6	24454.1	23589.8	22739.3	21898.7	21058.5	20211.2	19356.3	18501.6	17670.9	17564
4.5	47023.3	46668.4	44841.1	42854.3	41696.9	40848.1	40122.1	39444.8	38777.8	38097	37384.7	36626.9	35815.8	34958.8	34085	33236	32436.1	31681.9	30953	30222.7	29464.4	28663.6	27825.9	26964.9	26090.8	25212.6	24340.5	23483.5	22643.6	21812.8	20977.9	20128.2	19259.6	18374.3	17492.5	17377.7
4.68	47023.3	46121.2	43650	42176.5	41232.9	40476.8	39795.6	39138.1	38474.8	37786	37057.8	36282	35461.1	34614.3	33774.7	32973.1	32220.1	31505.1	30806.2	30097.4	29353.4	28559.3	27721.3	26854.9	25974.2	25092.6	24223.2	23374.8	22546	21724.7	20894.3	20040.7	19154.7	18230	17279	17152.8
4.86	47023.3	44923.5	42742.7	41630.1	40823.2	40130.3	39479	38831.6	38164.3	37461.2	36712.9	35920	35096.9	34272.2	33475	32722.4	32014	31334.8	30662.7	29973	29240.9	28451.7	27611.9	26739.2	25851.9	24967.7	24102.6	23264	22446.7	21634.6	20807.6	19948	19040.1	18064.2	17014.7	16871.5
5.04	47023.3	43542.6	42060	41166.1	40450	39800.2	39167.1	38521.1	37842.7	37119.3	36348.9	35543.3	34729.4	33938.2	33188.6	32484.4	31817.3	31170.4	30522.3	29849.1	29126.8	28340.7	27497.5	26617.7	25723.6	24838.2	23979.1	23151.5	22345.9	21542.4	20717.7	19849.7	18914.2	17869.5	16671.7	16500.3
5.22	47023.3	42567.7	41511.7	40755.6	40101.3	39480	38855.2	38202.8	37506.2	36758	35966.2	35157.1	34365.5	33617	32917.2	32259	31629.6	31011.6	30384.5	29725.5	29011	28226	27378	26490	25589.6	24704.4	23853	23037.5	22243.7	21448.1	20624.3	19745.2	18774.4	17634.2	16192.1	15968.9
