r(x_rel=0.5)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
3.06	47023.3	47023.3	47018.4	46973	46821.9	46383	44931.2	42865.9	41531.2	40547.2	39706.8	38921.9	38140.7	37321.6	36447	35505	34475.3	33387.9	32315.6	31299.3	30333.2	29410.9	28530.7	27680.5	26844.9	26007.3	25151.9	24269.7	23365.5	22456.5	21562.5	20699.4	19881.1	19124	18446.9	18362.1
3.24	47023.3	47023.3	47011.3	46929.1	46673.7	45871.2	43855.9	42201.3	41094.5	40211	39422.3	38665.9	37899.9	37087.1	36206.7	35250.8	34219.1	33158.5	32132.9	31162.6	30231.7	29330.2	28458.6	27609.7	26771.2	25928.8	25069.4	24186.8	23287.6	22387.3	21501.5	20642.5	19822.9	19059.4	18372.5	18286.2
3.42	47023.3	47023.2	46995.6	46849.9	46402.3	44973.5	42969.9	41665.6	40707.9	39895.5	39144.1	38407.2	37649.5	36837	35948.1	34981.9	33957.8	32932.3	31954.3	31027.2	30128.6	29246.5	28382.8	27534.5	26692.5	25845.3	24982.1	24100	23206.6	22315.4	21437.6	20582.3	19760.4	18989.2	18290.2	18201.9
3.6	47023.3	47022.4	46962.8	46705.3	45880.4	43895.4	42287.6	41211.9	40355.3	39593.6	38868.5	38143.3	37387.5	36570.2	35671.9	34701.2	33695.3	32711.1	31780.1	30893.2	30024.3	29159.7	28303	27454.7	26608.9	25756.5	24890.1	24009.2	23122.6	22240.8	21370.9	20518.6	19693.5	18912.5	18198.8	18108.1
3.78	47023.3	47019.2	46896.7	46431.2	44961.6	43001.8	41739.3	40812.1	40025.9	39300	38591.9	37871.6	37112.1	36286.1	35379.4	34412.8	33435.2	32496.1	31610.6	30760.7	29918.6	29070.1	28219.4	27370.4	26520.2	25662.6	24793.4	23914.9	23035.7	22163.6	21301.4	20451.5	19621.8	18828.8	18096.6	18003
3.96	47023.3	47008.2	46765.2	45888.7	43870	42313.7	41276.2	40448.8	39712	39010.4	38311.3	37589.7	36821.5	35984.6	35073.7	34121.2	33180.4	32288.3	31445.7	30629.6	29811.7	28977.4	28131.8	27281.2	26426.1	25563.4	24692.1	23817	22946.3	22084	21229	20380.7	19544.8	18737	17981.8	17884.4
4.14	47023.3	46975.4	46498.4	44921.4	42975.3	41760.8	40868.9	40110.3	39407.6	38720.7	38023.7	37295	36514.4	35666.9	34758.5	33830.9	32933.3	32087.9	31285.4	30500	29703.7	28881.9	28040	27187.2	26326.7	25459	24586.5	23716	22854.4	22002.2	21153.9	20306.1	19462.2	18635.9	17851.3	17749.1
4.32	47023.3	46889	45936.6	43798.3	42288.2	41293.9	40499.3	39788.3	39107.8	38427.5	37726	36985.3	36190.2	35335.5	34439.2	33546.1	32695.2	31895	31129.3	30371.6	29594.5	28783.4	27944.1	27088.1	26221.8	25349.4	24476.7	23612.1	22760.4	21918	21076	20227.5	19373.2	18523.8	17701.3	17592.6
4.5	47023.3	46674.2	44889.4	42900.7	41735.8	40883.3	40155.2	39476.4	38808.5	38127.3	37415.3	36658.7	35849.6	34994.3	34120.9	33270.1	32467.1	31709.5	30977.4	30244.3	29484	28681.8	27843.9	26983.7	26111.3	25234.6	24363	23505.5	22664.3	21831.7	20995.2	20144.6	19277	18398.6	17525.7	17408.3
4.68	47023.3	46138.6	43697.3	42216.1	41268.6	40510.4	39828	39169.6	38505.7	37816.8	37089	36314.4	35494.9	34649	33808.9	33005.1	32249.1	31531	30829.3	30118.1	29372.2	28577.1	27739.1	26873.9	25995	25114.7	24245.7	23396.6	22566.3	21743.3	20911.4	20057.1	19172.7	18257.2	17315.4	17185.5
4.86	47023.3	44961.4	42782.3	41665.8	40857.1	40163.2	39511.2	38863.3	38195.7	37492.6	36744.7	35952.6	35130.3	34305.6	33507.2	32752.4	32041.2	31359.2	30684.6	29992.6	29259	28469.1	27629.7	26758.5	25872.9	24990	24125	23285.6	22466.7	21652.9	20824.5	19964.5	19059	18095.2	17054.9	16906.2
5.04	47023.3	43580	42094.6	41199.5	40482.8	39832.8	39199.4	38553.3	37874.8	37151.5	36381.2	35575.9	34761.9	33969.9	33218.8	32512.5	31842.9	31193.5	30543	29867.8	29144.3	28357.7	27515.3	26637.2	25745	24860.6	24001.4	23172.7	22365.5	21560.4	20734.4	19866.4	18934.1	17905.9	16715.9	16536.8
5.22	47023.3	42599.3	41543.6	40787.9	40133.8	39512.7	38888.1	38235.8	37539.2	36790.9	35998.8	35189.1	34396.7	33646.9	32945.4	32285.2	31653.7	31033.5	30404.3	29743.5	29027.9	28242.8	27395.9	26509.8	25611.2	24726.9	23875.1	23058.3	22262.8	21465.8	20641	19762.2	18795.8	17678.8	16240	16005.2
