r(x_rel=0.5)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47018	47004.6	46969.9	46885.1	46659.5	43227	39457.6	38315.5	37440.2	36614.8	35715.6	34588.2	33072	31456.5	30177	29158.4	28270.1	27445	26644.2	25834.3	24982.8	24064.9	23088	22106.6	21183.5	20349.3	19613.6	18979.8	18902
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47021.9	47016.5	47000.4	46959.3	46857	46553.7	42461.1	39421.4	38291.1	37417.1	36589.3	35684.5	34549.3	33035.6	31436.2	30165.2	29149.6	28262.2	27437.2	26635.9	25825.4	24973.2	24055	23078.8	22098.9	21176.9	20343.2	19607.4	18973.5	18895.6
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.4	47014.8	46995.8	46947.7	46825.4	46417.9	42029.6	39385.6	38266.7	37393.9	36563.7	35653.2	34510.6	32999.6	31416.1	30153.5	29140.7	28254.2	27429.3	26627.6	25816.4	24963.5	24045.1	23069.7	22091.1	21170.2	20337	19601.3	18967.1	18889.2
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47020.6	47012.1	46988.5	46929.2	46772.7	46133	41646	39336.2	38232.6	37361.4	36527.7	35609.3	34456.5	32950.2	31388.3	30137.1	29128.4	28243.1	27418.3	26616	25803.8	24949.9	24031.3	23056.9	22080.2	21160.9	20328.4	19592.7	18958.1	18880.1
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47022.6	47019.2	47007.9	46977.2	46900.1	46683.1	45483.3	41300.1	39272.1	38187.4	37318	36479.4	35550.5	34385	32886.2	31352	30115.6	29112.1	28228.4	27403.6	26600.5	25787.1	24931.9	24013	23040	22065.9	21148.6	20317	19581.3	18946.2	18868.1
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.1	47017.1	47001.2	46959.8	46854.3	46524.6	44335.4	40986.8	39193.4	38130.7	37263.1	36418.3	35476.1	34295.9	32808	31307.5	30088.8	29091.7	28210	27385.2	26581.1	25766	24909.3	23990	23018.9	22047.9	21133.2	20302.6	19566.9	18931.1	18852.9
1.08	47023.3	47023.3	47023.3	47023.3	47023.1	47021.3	47013.6	46991.1	46933.3	46781.1	46221.3	43219.7	40699.8	39100.9	38062.2	37196.2	36343.4	35385.4	34189.4	32717.1	31255	30056.8	29067.1	28187.6	27362.9	26557.5	25740.6	24882	23962.4	22993.6	22026.3	21114.5	20285.2	19549.4	18912.7	18834.4
1.26	47023.3	47023.3	47023.3	47023.3	47022.9	47019.8	47008.1	46975.5	46892.5	46659.8	45595.6	42414.9	40433.2	38995.4	37981.8	37116.9	36254.3	35277.9	34066.2	32614.7	31195.2	30019.8	29038.3	28161.4	27336.6	26529.8	25710.6	24850	23930.1	22964	22001.1	21092.7	20264.8	19528.7	18891	18812.4
1.44	47023.3	47023.3	47023.3	47023.3	47022.4	47017.2	46999.3	46951.5	46828.5	46445.3	44516	41816.6	40182.2	38877.7	37889.3	37024.7	36150.3	35153.3	33927.6	32502.5	31128.8	29977.8	29005.4	28131.3	27306.4	26497.8	25676	24813.2	23893.1	22930.2	21972.3	21067.7	20241.3	19504.8	18865.7	18786.9
1.62	47023.3	47023.3	47023.3	47023.2	47021.5	47012.9	46985.5	46914.3	46724.4	46032.2	43407	41340.4	39943	38748.6	37784.6	36919.1	36030.7	35011.5	33775.1	32382.4	31056.4	29931	28968.5	28097.3	27272.1	26461.5	25636.9	24771.5	23851.5	22892.4	21940	21039.4	20214.6	19477.6	18836.8	18757.7
1.8	47023.3	47023.3	47023.3	47023.1	47019.9	47005.6	46963.7	46855.6	46546.2	45231.5	42574.8	40940.2	39712.1	38608.6	37667.3	36799.3	35894.7	34852.7	33610.7	32255.8	30978.6	29879.8	28927.5	28059.3	27233.8	26420.9	25593	24725.2	23805.4	22850.6	21904.2	21008	20184.7	19447	18804.1	18724.7
1.98	47023.3	47023.3	47023.3	47022.7	47016.8	46993.7	46929.2	46760.5	46217.8	44104.9	41947.7	40589.9	39487	38457.9	37537	36664.6	35741.9	34677.5	33436.5	32124.4	30896.2	29824.2	28882.4	28017.4	27191.3	26375.8	25544.5	24674	23754.9	22804.9	21865	20973.5	20151.7	19412.8	18767.4	18687.6
2.16	47023.3	47023.3	47023.3	47021.9	47011.3	46974.1	46874	46599.6	45581.4	43118.1	41445.6	40273.4	39265.3	38296.8	37393.2	36514.3	35571.8	34487.2	33255.1	31989.6	30809.7	29764.5	28833.5	27971.5	27144.5	26326.1	25491.1	24618.1	23700	22755.4	21822.5	20935.7	20115.3	19375	18726.4	18646.2
2.34	47023.3	47023.3	47023.2	47020.3	47001.6	46942	46783.8	46309.3	44549.8	42376.8	41022.2	39980.4	39045	38125.1	37235.4	36347.7	35384.1	34283.6	33068.8	31852.5	30719.7	29700.9	28780.6	27921.5	27093.5	26271.9	25433	24557.5	23640.9	22702.4	21776.7	20894.8	20075.6	19333.3	18681	18600.2
2.52	47023.3	47023.3	47023.1	47016.8	46984.7	46889.5	46631	45754.2	43493.2	41799.3	40650.6	39703.5	38824.2	37942.4	37062.7	36163.8	35179.4	34068.9	32879.8	31714.2	30626.6	29633.6	28723.9	27867.5	27038.1	26213	25370	24492.3	23577.8	22645.8	21727.7	20850.7	20032.4	19287.6	18630.8	18549.2
2.7	47023.3	47023.3	47022.6	47010	46955.7	46802.2	46356.9	44804.5	42674.4	41323.5	40314.2	39437.5	38601	37748.2	36874.3	35962.1	34958.4	33846	32690.2	31575.5	30531	29562.7	28663.3	27809.3	26978.3	26149.3	25302.2	24422.5	23510.7	22585.8	21675.7	20803.5	19985.7	19237.7	18575.4	18492.9
2.88	47023.3	47023.3	47021.4	46997.1	46906.4	46652.6	45837.2	43730.1	42043.6	40913.4	40002.2	39178.1	38373.8	37541.5	36669.4	35742.5	34722.8	33618	32501.7	31437.1	30433.1	29488.4	28598.9	27747	26913.9	26080.8	25229.5	24348.3	23439.9	22522.7	21620.6	20753.1	19935.3	19183.3	18514.3	18430.8
