r(x_rel=0)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.2	47017.7	47003.5	46966.1	46873.2	46618.9	41956.3	39302.5	38211.7	37349.1	36521.5	35606	34443.5	32898.7	31323.2	30090	29096.3	28219.1	27397.4	26595.1	25780.8	24922.8	23999	23021.4	22046.9	21133.9	20308	19576.7	18942.2	18863.8
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47021.8	47016.1	46999	46954.5	46841.7	46489.4	41682.3	39269	38187.7	37325.9	36495.6	35574.1	34404.1	32864	31304.3	30078.7	29087.7	28211.2	27389.5	26586.8	25771.7	24913.1	23989.1	23012.3	22039.2	21127.3	20301.9	19570.6	18935.7	18857.3
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.3	47014.4	46994	46941.9	46806	46316	41463.4	39235.8	38163.7	37302.6	36469.5	35542.1	34365	32829.8	31285.6	30067.5	29079	28203.4	27381.6	26578.4	25762.7	24903.3	23979.2	23003.3	22031.6	21120.7	20295.7	19564.4	18929.1	18850.7
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47020.4	47011.5	46986.2	46921.6	46745.9	45928.9	41222.9	39189.9	38130.2	37269.9	36432.8	35497	34310.3	32782.8	31259.7	30051.9	29066.9	28192.3	27370.6	26566.7	25750	24889.7	23965.4	22990.7	22020.9	21111.5	20287.2	19555.7	18920	18841.5
0.72	47023.3	47023.3	47023.3	47023.3	47023.2	47022.6	47019	47006.9	46974	46889.4	46641.9	45065.4	40973.4	39129.9	38085.6	37226.3	36383.7	35436.8	34238.3	32722	31225.9	30031.3	29050.9	28177.7	27355.9	26551.2	25733.1	24871.6	23947.2	22974.1	22006.8	21099.4	20275.8	19544.2	18907.8	18829.2
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.1	47016.8	46999.9	46955.2	46838.5	46453	43841.1	40725.6	39056	38029.7	37171	36321.4	35360.7	34148.8	32647.8	31184.3	30005.6	29030.9	28159.3	27337.4	26531.6	25711.9	24848.9	23924.3	22953.2	21989.2	21084.1	20261.5	19529.7	18892.4	18813.6
1.08	47023.3	47023.3	47023.3	47023.3	47023.1	47021.2	47013.1	46989	46926.3	46756.2	46077.8	42853.3	40484	38968.7	37962	37103.7	36245.1	35267.9	34042.2	32561.4	31135.3	29974.9	29006.8	28137.1	27315	26507.8	25686.1	24821.4	23896.7	22928.2	21967.9	21065.7	20244.1	19512.1	18873.6	18794.7
1.26	47023.3	47023.3	47023.3	47023.3	47022.8	47019.6	47007.2	46972.3	46881.6	46617.2	45306.3	42145.6	40250	38868.6	37882.5	37023.8	36154.4	35158.2	33919.4	32464.3	31079.2	29939.3	28978.6	28111.1	27288.7	26479.9	25655.9	24789.2	23864.5	22899	21943.1	21044.1	20223.7	19491.2	18851.3	18772.2
1.44	47023.3	47023.3	47023.3	47023.3	47022.4	47016.9	46997.9	46946.4	46810.7	46365.2	44143.9	41606	40022.9	38756.3	37790.9	36930.8	36048.4	35031.3	33781.7	32357.9	31016.8	29899	28946.3	28081.1	27258.3	26447.7	25621.1	24752.2	23827.7	22865.7	21914.8	21019.3	20200.3	19467.2	18825.5	18746.1
1.62	47023.3	47023.3	47023.3	47023.2	47021.5	47012.3	46983.2	46906	46693.9	45868.1	43112.3	41167.1	39801.6	38632.3	37686.9	36824.2	35926.6	34887.3	33631	32243.8	30948.5	29854	28910	28047.3	27223.9	26411.1	25581.6	24710.4	23786.2	22828.3	21883	20991.4	20173.6	19439.7	18795.9	18716.2
1.8	47023.3	47023.3	47023.3	47023	47019.7	47004.7	46959.9	46841.9	46490.1	44942.8	42353.1	40792	39584.5	38497	37570.2	36703.2	35788.3	34726.6	33469.2	32123.6	30875.1	29804.5	28869.7	28009.4	27185.4	26370.1	25537.4	24663.8	23740.4	22787.1	21847.7	20960.3	20143.8	19408.8	18762.3	18682.3
1.98	47023.3	47023.3	47023.3	47022.7	47016.5	46992	46922.8	46736.7	46105.7	43805.8	41771.8	40459.4	39370.1	38350.7	37440.3	36567.1	35632.9	34550	33298.6	31998.6	30797	29750.9	28825.4	27967.6	27142.7	26324.6	25488.4	24612.5	23690.1	22742	21809.1	20926.1	20110.8	19374.3	18724.7	18644.3
2.16	47023.3	47023.3	47023.3	47021.9	47010.8	46971.2	46863	46555.9	45365	42887.6	41298.9	40155.9	39156.8	38193.4	37296.8	36415.1	35460.1	34358.9	33121.5	31870.3	30714.8	29693.2	28777.2	27921.9	27095.8	26274.6	25434.7	24556.4	23635.5	22693.2	21767.2	20888.7	20074.4	19336	18682.7	18601.8
2.34	47023.3	47023.3	47023.2	47020.1	47000.5	46937.1	46764.4	46222.9	44271.8	42197.7	40895	39872.7	38943	38024.9	37138.8	36246.5	35270.1	34155.5	32940.2	31739.6	30629	29631.5	28725.1	27872	27044.5	26219.9	25376.1	24495.7	23576.8	22640.8	21722.1	20848.1	20034.7	19293.8	18636	18554.5
2.52	47023.3	47023.3	47023.1	47016.5	46982.7	46880.7	46595	45582.8	43262.5	41652.5	40537	39603.3	38727.3	37844.9	36965.8	36060.5	35063.2	33942.1	32756.8	31607.5	30540.1	29566.2	28669.1	27818.1	26988.9	26160.5	25312.7	24430.3	23514	22585	21673.8	20804.4	19991.5	19247.5	18584.3	18502.2
2.7	47023.3	47023.3	47022.6	47009.5	46952.1	46786.2	46285.7	44556.2	42495.1	41197.6	40210.5	39343	38508.1	37652.6	36776.7	35856.7	34840.7	33721.6	32573.2	31474.8	30448.4	29497.3	28609.3	27760.1	26928.8	26096.4	25244.4	24360.4	23447.4	22525.8	21622.4	20757.5	19944.7	19196.9	18527.2	18444.3
2.88	47023.3	47023.3	47021.4	46995.9	46899.6	46622.4	45693.9	43507.2	41897.8	40801.7	39905.8	39088	38283.8	37447.3	36570.7	35634.9	34604.5	33497	32390.8	31342	30354.3	29425	28545.7	27697.9	26864.1	26027.3	25171.2	24286.2	23377.1	22463.5	21568	20707.5	19894.2	19141.6	18464.2	18380.3
3.06	47023.3	47023.3	47018.2	46970.6	46809.1	46322.4	44710.4	42690.7	41406.9	40445.4	39615.8	38835.1	38052.7	37228.1	36347.1	35395.6	34357.4	33271.3	32210.8	31209.6	30258.2	29349.4	28478.2	27631.4	26794.7	25953.3	25093.2	24207.6	23303.3	22398.2	21510.7	20654.2	19839.9	19081.2	18394.6	18309.6
3.24	47023.3	47023.3	47010.8	46924.4	46648.8	45747	43646.8	42058.8	40984.3	40116.4	39335.4	38581.4	37813.2	36993.8	36105.4	35140.1	34102.8	33047	32034.1	31078	30160.1	29270.6	28406.9	27560.6	26720.5	25874.2	25010.3	24124.8	23226.1	22329.9	21450.4	20597.6	19781.4	19015.4	18317.7	18231.4
3.42	47023.3	47023.2	46994.5	46840.5	46350.6	44776.5	42802.9	41543.9	40607.4	39806	39060.1	38324.2	37563.3	36743.3	35845.4	34870.7	33844.3	32826.3	31861.3	30947.3	30060.4	29188.6	28331.7	27485.3	26641.3	25790	24922.6	24038.1	23145.8	22258.9	21387.3	20537.6	19718.7	18943.6	18232.5	18144.6
3.6	47023.3	47022.4	46960.3	46685.8	45771.6	43703.7	42151	41103.8	40261.6	39507.9	38786.4	38061.2	37301.3	36475.7	35568	34590.7	33585.8	32610.9	31692.6	30817.7	29959.1	29103.6	28252.7	27405.5	26557.2	25700.6	24830.2	23947.6	23062.5	22185.2	21321.3	20474.3	19651.3	18865.2	18137.7	18047.9
3.78	47023.3	47019.1	46890.9	46388.7	44785.8	42846.7	41621.9	40713.1	39937	39216.8	38511.1	37789.7	37025.3	36190.6	35275	34304.1	33330.4	32401.7	31528.2	30689.3	29856.3	29015.6	28169.6	27321	26467.9	25606.1	24733.2	23853.5	22976.5	22109	21252.5	20407.4	19579.1	18779.1	18031.7	17939.6
3.96	47023.3	47007.5	46752.1	45795	43698	42185.3	41171.1	40355.9	39626.3	38928.7	38231	37507.4	36733.7	35888.2	34969.6	34015.6	33080.9	32199.4	31368.2	30562	29752.2	28924.6	28082.5	27231.6	26373.2	25506.2	24631.7	23756.1	22887.9	22030.4	21180.9	20336.8	19501.4	18684.5	17912.4	17817.3
4.14	47023.3	46973.5	46467.4	44766.6	42834.6	41649.3	40771.8	40021.5	39323.9	38639.8	37943.2	37211.9	36425.4	35569.9	34655.9	33729.4	32839.3	32004.4	31212.3	30435.8	29646.7	28830.5	27991.2	27137.3	26273.2	25401.2	24525.9	23655.6	22797	21949.5	21106.4	20262.3	19417.9	18579.8	17776.8	17678
4.32	47023.3	46883.5	45861.4	43647.8	42170	41192.9	40407.4	39702.1	39025.2	38346.7	37644.8	36901	36100.1	35238.6	34339.2	33449.5	32606.9	31816.6	31060.4	30310.7	29539.9	28733.3	27895.7	27037.9	26167.5	25290.9	24416.1	23552.2	22703.9	21866.3	21029.1	20183.7	19327.7	18463.2	17620.8	17517.1
4.5	47023.3	46658.2	44757.5	42776.4	41631.5	40788.9	40066.6	39391.6	38726.1	38045.9	37333	36573.1	35758.7	34898.7	34024.7	33178.9	32384.2	31635.8	30912.3	30186.4	29431.6	28633	27795.8	26933.1	26056.2	25175.6	24302.4	23446.3	22608.8	21781	20948.8	20100.7	19230.2	18332.1	17438.4	17327.9
4.68	47023.3	46090.5	43570	42109.8	41172.8	40420.1	39741.1	39085.1	38422.7	37734.2	37005.2	36227.5	35404	34555.8	33717.3	32919.4	32171.4	31461.7	30767.7	30062.9	29321.9	28529.4	27691.2	26822.8	25939.2	25055.2	24185.2	23338.1	22511.8	21693.5	20865.6	20013	19124.1	18182.8	17220.1	17100
4.86	47023.3	44857.9	42676.1	41570.1	40766.2	40075	39424.8	38778.2	38111.5	37408.3	36659.4	35865	35040.7	34216	33420.9	32672.1	31968.3	31293.9	30626.2	29940.1	29210.6	28422.5	27581.9	26706.7	25816.3	24930.1	24064.8	23227.9	22413.2	21603.9	20779.2	19920.1	19008.1	18010	16950.6	16815.7
5.04	47023.3	43479.2	42001.6	41109.7	40394.6	39745.4	39112.5	38466.9	37788.6	37065.2	36294.5	35488.5	34674.8	33884.8	33137.9	32437.4	31774.5	31131.8	30487.6	29817.6	29097.5	28312	27467.5	26584.7	25687.5	24800.4	23941.6	23115.9	22313.1	21512.3	20689.5	19821.5	18880.2	17805.1	16602	16442.4
5.22	47023.3	42514.1	41457.6	40701.1	40046.5	39424.8	38799.8	38147.3	37450.6	36702.6	35911.4	35103.2	34313.3	33566.9	32869.9	32215	31589.3	30975.1	30351.6	29695.5	28982.7	28197.9	27348	26456.6	25553	24666.4	23815.8	23002.5	22211.5	21418.5	20596.4	19716.5	18737.9	17554.2	16118.2	15912
