r(x_rel=0.75)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0	47023.3	47023.3	47023.3	47023.3	47023.3	47023.2	47022.3	47018	47004.7	46970.3	46886.3	46663.8	43471.8	39476.4	38327.8	37450.8	36625.6	35728.2	34604.8	33092.3	31472.5	30187.4	29165.8	28276.1	27450.6	26649.9	25840.6	24989.8	24072.6	23095.8	22113.7	21189.4	20354.2	19617.9	18984.2	18906.4
0.18	47023.3	47023.3	47023.3	47023.3	47023.3	47023.1	47021.9	47016.5	47000.5	46959.8	46858.6	46560.4	42573.2	39439.8	38303.3	37427.7	36600.2	35697.2	34566	33055.7	31452	30175.6	29156.9	28268.2	27442.8	26641.6	25831.6	24980.2	24062.7	23086.6	22105.9	21182.7	20348	19611.8	18977.9	18900
0.36	47023.3	47023.3	47023.3	47023.3	47023.3	47023	47021.4	47014.9	46996	46948.3	46827.5	46428.1	42103.6	39403.7	38278.9	37404.6	36574.6	35666	34527.3	33019.6	31431.7	30163.8	29148.1	28260.2	27434.9	26633.3	25822.6	24970.5	24052.8	23077.5	22098.1	21176.1	20341.9	19605.6	18971.5	18893.6
0.54	47023.3	47023.3	47023.3	47023.3	47023.3	47022.9	47020.6	47012.2	46988.8	46930.1	46775.5	46152.4	41698.5	39353.9	38244.7	37372	36538.7	35622.2	34473.3	32969.9	31403.7	30147.3	29135.7	28249.1	27423.9	26621.7	25810.1	24956.9	24039	23064.7	22087.2	21166.8	20333.3	19597	18962.5	18884.6
0.72	47023.3	47023.3	47023.3	47023.3	47023.3	47022.6	47019.3	47008	46977.5	46901.2	46687.4	45524.8	41339.6	39289.2	38199.4	37328.7	36490.5	35563.6	34401.9	32905.5	31367.1	30125.7	29119.4	28234.4	27409.2	26606.3	25793.4	24939	24020.7	23047.8	22072.9	21154.4	20321.8	19585.6	18950.6	18872.6
0.9	47023.3	47023.3	47023.3	47023.3	47023.2	47022.1	47017.1	47001.4	46960.3	46855.9	46532.1	44392.8	41017.9	39209.9	38142.6	37273.8	36429.5	35489.4	34312.9	32826.9	31322.2	30098.8	29098.9	28215.9	27390.8	26586.9	25772.3	24916.4	23997.7	23026.6	22054.9	21138.9	20307.5	19571.2	18935.6	18857.4
1.08	47023.3	47023.3	47023.3	47023.3	47023.1	47021.3	47013.7	46991.3	46934.1	46783.8	46235.8	43264.4	40725.3	39116.7	38074	37207	36354.8	35398.9	34206.4	32735.4	31269.3	30066.6	29074.2	28193.6	27368.5	26563.3	25746.9	24889.1	23970.1	23001.2	22033.2	21120.3	20290.1	19553.7	18917.2	18839
1.26	47023.3	47023.3	47023.3	47023.3	47022.9	47019.8	47008.2	46975.8	46893.7	46664.3	45625.5	42447.6	40454.7	39010.5	37993.5	37127.8	36265.9	35291.7	34083.2	32632.4	31209.1	30029.4	29045.4	28167.4	27342.3	26535.6	25716.9	24857.1	23937.7	22971.6	22008	21098.4	20269.6	19533.1	18895.5	18817.1
1.44	47023.3	47023.3	47023.3	47023.3	47022.4	47017.2	46999.5	46952	46830.4	46453.7	44558.8	41841.8	40200.9	38892.2	37900.9	37035.7	36162.1	35167.3	33944.5	32519.6	31142.2	29987.2	29012.5	28137.3	27312	26503.7	25682.4	24820.2	23900.7	22937.8	21979.1	21073.4	20246.1	19509.2	18870.3	18791.6
1.62	47023.3	47023.3	47023.3	47023.2	47021.5	47012.9	46985.8	46915.2	46727.7	46049.2	43442.6	41361	39959.5	38762.4	37796	36930.1	36042.7	35025.8	33791.9	32398.8	31069.3	29940.2	28975.4	28103.2	27277.8	26467.4	25643.3	24778.7	23859.1	22899.9	21946.7	21045.1	20219.4	19482	18841.5	18762.5
1.8	47023.3	47023.3	47023.3	47023.1	47019.9	47005.7	46964.1	46857.1	46552.2	45262.9	42601.5	40957.8	39727	38621.7	37678.6	36810.4	35907	34867.2	33627.2	32271.5	30991	29888.8	28934.3	28065.2	27239.4	26426.8	25599.5	24732.3	23813	22858.1	21910.9	21013.7	20189.6	19451.4	18808.9	18729.6
