r(x_rel=0.75)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
1.98	47023.3	47023.3	47023.3	47022.7	47016.9	46993.8	46929.9	46763.1	46229.5	44140.2	41968.7	40605.3	39500.6	38470.6	37548.3	36675.9	35754.5	34692.3	33452.7	32139.3	30908	29832.9	28889.2	28023.3	27196.9	26381.7	25551	24681.2	23762.5	22812.3	21871.6	20979	20156.5	19417.3	18772.3	18692.6
2.16	47023.3	47023.3	47023.3	47021.9	47011.4	46974.4	46875.2	46604.3	45604.5	43145.8	41463	40287.2	39278	38309	37404.5	36525.9	35584.7	34502.1	33270.8	32003.7	30821	29773	28840.1	27977.3	27150.2	26332.1	25497.7	24625.3	23707.6	22762.8	21829	20941.3	20120.1	19379.5	18731.5	18651.3
2.34	47023.3	47023.3	47023.2	47020.3	47001.7	46942.6	46785.9	46318.4	44581.8	42398.2	41037.2	39993	39056.9	38136.8	37246.6	36359.4	35397.3	34298.5	33083.9	31865.9	30730.5	29709.2	28787.2	27927.3	27099.2	26277.9	25439.6	24564.7	23648.4	22709.6	21783.2	20900.3	20080.4	19337.9	18686.2	18605.4
2.52	47023.3	47023.3	47023.1	47016.8	46984.9	46890.5	46634.8	45772.5	43520.8	41816.7	40664	39715.3	38835.4	37953.8	37074	36175.8	35192.8	34083.7	32894.3	31726.9	30636.9	29641.6	28730.3	27873.3	27043.9	26219.1	25376.7	24499.5	23585.3	22652.9	21734.1	20856.2	20037.2	19292.3	18636.2	18554.7
2.7	47023.3	47023.3	47022.6	47010.1	46956.1	46803.9	46364.5	44832.5	42695.8	41338.4	40326.4	39448.6	38611.8	37759.3	36885.7	35974.4	34972	33860.6	32704	31587.5	30540.8	29570.5	28669.7	27815.1	26984.1	26155.5	25308.9	24429.8	23518.1	22592.9	21681.9	20808.9	19990.5	19242.4	18580.9	18498.6
2.88	47023.3	47023.3	47021.4	46997.2	46907.2	46655.8	45852.5	43756.5	42060.9	40926.5	40013.5	39188.7	38384.3	37552.5	36680.8	35754.9	34736.6	33632.2	32514.8	31448.3	30442.4	29495.9	28605.2	27752.8	26919.8	26087	25236.3	24355.5	23447.2	22529.7	21626.7	20758.4	19940.1	19188.1	18520.1	18436.6
3.06	47023.3	47023.3	47018.4	46973.2	46823.3	46389.5	44955.9	42886.8	41545.9	40559.1	39717.4	38932.1	38150.9	37332.4	36458.6	35517.7	34489.1	33401.6	32328	31309.9	30342.1	29418.2	28536.8	27686.3	26850.8	26013.6	25158.7	24276.9	23372.8	22463.3	21568.6	20704.7	19885.9	19128.9	18452.9	18368.2
3.24	47023.3	47023.3	47011.3	46929.7	46676.4	45884.5	43880.5	42218.2	41107.5	40222.1	39432.5	38675.7	37910	37097.9	36218.4	35263.7	34232.7	33171.7	32144.6	31172.7	30240.2	29337.3	28464.7	27615.4	26777.1	25935.2	25076.3	24194.1	23294.9	22394.1	21507.5	20647.8	19827.7	19064.5	18378.9	18292.6
3.42	47023.3	47023.2	46995.7	46851	46407.8	44995.5	42989.6	41679.9	40719.7	39905.9	39153.9	38416.8	37659.5	36847.9	35960	34994.8	33971.1	32944.8	31965.3	31036.7	30136.7	29253.3	28388.8	27540.2	26698.5	25851.7	24989.1	24107.2	23213.8	22322	21443.5	20587.5	19765.3	18994.4	18296.9	18208.6
3.6	47023.3	47022.4	46963.1	46707.4	45892.1	43917.7	42303.7	41224.6	40366.2	39603.6	38878	38152.9	37397.5	36581.2	35683.9	34714.1	33708.1	32722.9	31790.5	30902.2	30032	29166.4	28309	27460.5	26614.9	25763.1	24897	24016.5	23129.6	22247.3	21376.7	20523.8	19698.5	18918	18205.9	18115.2
3.78	47023.3	47019.3	46897.4	46435.7	44981.2	43020.1	41753.1	40823.7	40036.3	39309.8	38601.3	37881.2	37122.2	36297.2	35391.6	34425.5	33447.5	32507.3	31620.3	30769.2	29926	29076.5	28225.2	27376.1	26526.2	25669.2	24800.4	23922	23042.7	22170	21307.1	20456.7	19626.8	18834.5	18104.2	18010.5
3.96	47023.3	47008.2	46766.6	45898.8	43889.9	42328.7	41288.5	40459.7	39722	39019.9	38320.7	37599.3	36831.7	35995.8	35085.8	34133.5	33192.1	32298.7	31454.9	30637.6	29818.8	28983.7	28137.5	27287	26432.3	25570.1	24699.2	23824.2	22953.1	22090.4	21234.7	20385.9	19549.9	18743	17989.9	17892.4
4.14	47023.3	46975.6	46501.8	44938.7	42991.7	41773.9	40880.2	40120.7	39417.4	38730.2	38033.1	37304.7	36524.7	35678.2	34770.5	33842.8	32944.3	32097.7	31294	30507.5	29710.4	28888	28045.8	27193	26333	25465.8	24593.6	23723.1	22861.2	22008.4	21159.5	20311.3	19467.3	18642.3	17860.1	17757.6
4.32	47023.3	46889.6	45944.8	43815.7	42301.9	41305.7	40510	39798.4	39117.5	38436.9	37735.5	36995.1	36200.7	35346.7	34450.8	33557.4	32705.6	31904.2	31137.5	30378.8	29600.9	28789.3	27949.8	27094	26228.2	25356.2	24483.8	23619.1	22767	21924.1	21081.5	20232.7	19378.4	18530.7	17710.9	17601.7
4.5	47023.3	46675.9	44904.1	42915.1	41747.9	40894.3	40165.5	39486.3	38818.1	38136.8	37424.9	36668.7	35860.2	35005.5	34132.2	33280.8	32476.9	31718.2	30985.1	30251.2	29490.2	28687.6	27849.5	26989.7	26117.7	25241.4	24370.1	23512.5	22670.8	21837.7	21000.6	20149.8	19282.5	18406.1	17536.3	17418
4.68	47023.3	46143.8	43711.9	42228.4	41279.7	40520.9	39838.1	39179.4	38515.4	37826.4	37098.8	36324.5	35505.5	34659.9	33819.6	33015.2	32258.3	31539.2	30836.5	30124.6	29378.2	28582.7	27744.7	26879.9	26001.5	25121.7	24252.8	23403.5	22572.8	21749.2	20916.8	20062.3	19178.4	18265.5	17327	17195.9
4.86	47023.3	44972.9	42794.5	41676.8	40867.6	40173.4	39521.2	38873.2	38205.5	37502.4	36754.7	35962.8	35140.8	34316.1	33517.3	32761.8	32049.8	31366.9	30691.5	29998.8	29264.7	28474.6	27635.3	26764.5	25879.5	24997	24132.1	23292.3	22473	21658.6	20829.8	19969.8	19064.9	18104.6	17067.8	16917.5
5.04	47023.3	43591.5	42105.3	41209.8	40493.1	39842.9	39209.5	38563.4	37884.8	37161.5	36391.3	35586.1	34772.1	33979.9	33228.3	32521.3	31851	31200.8	30549.5	29873.8	29149.8	28363.1	27520.9	26643.3	25751.7	24867.6	24008.4	23179.3	22371.6	21566	20739.7	19871.7	18940.4	17916.9	16730.4	16548.7
5.22	47023.3	42609	41553.5	40797.8	40143.9	39522.9	38898.4	38246.2	37549.5	36801.2	36009	35199.1	34406.4	33656.2	32954.3	32293.5	31661.3	31040.3	30410.5	29749.2	29033.2	28248.1	27401.5	26516	25618	24733.9	23882.1	23064.8	22268.9	21471.3	20646.2	19767.5	18802.4	17692.2	16256	16017.3
