t(s)	cell#0
279000	-8.59597e-29
280000	-2.4926e-29
281000	-9.49205e-30
282000	-3.55472e-28
283000	8.69224e-29
284000	2.93307e-30
285000	0.000780212
286000	-6.87261e-30
287000	2.92567e-31
288000	5.01371e-30
289000	1.21138e-26
290000	3.01501e-28
291000	4.33392e-31
292000	3.95068e-30
293000	7.3867e-27
294000	-7.93694e-29
295000	1.15748e-32
296000	-5.78956e-30
297000	2.57194e-29
298000	-3.203e-30
299000	-1.20871e-29
300000	0.000780251
301000	-4.01675e-28
302000	-1.10211e-29
303000	-3.94188e-31
304000	6.3701e-26
305000	3.37542e-29
306000	1.25794e-29
307000	-2.80802e-31
308000	2.62124e-27
309000	6.01979e-29
310000	-6.36244e-30
311000	-1.34174e-30
312000	2.88339e-27
313000	1.78975e-30
314000	-1.91866e-30
315000	0.000780226
316000	-3.75979e-28
317000	-1.40596e-29
318000	-3.31286e-31
319000	7.09617e-26
320000	-7.32315e-29
321000	-1.23889e-29
322000	-4.35165e-31
323000	-8.43299e-29
324000	3.77587e-29
325000	-1.43829e-30
326000	3.81587e-31
327000	-1.07757e-27
328000	4.1695e-29
329000	-1.29434e-29
330000	0.000780221
331000	-1.54144e-29
332000	3.99008e-29
333000	7.36931e-30
334000	-1.82493e-27
335000	-1.73647e-28
336000	2.56986e-29
337000	8.04465e-30
338000	4.39202e-27
339000	-3.64962e-29
340000	-3.80277e-29
341000	-9.86473e-32
342000	5.12171e-28
343000	-4.83346e-29
344000	2.02055e-31
345000	0.000780118
346000	2.42625e-29
347000	-2.12871e-32
348000	-7.8344e-31
349000	-3.32939e-26
350000	-5.69141e-30
351000	4.35938e-32
352000	1.21123e-30
353000	2.00822e-29
354000	-1.34335e-30
355000	-1.37942e-30
356000	2.02445e-31
357000	-2.31428e-28
358000	3.85804e-29
359000	4.51052e-30
360000	0.00078021
361000	-6.75472e-28
362000	-3.72787e-29
363000	5.48057e-31
364000	2.42277e-28
365000	-3.56885e-30
366000	-5.38179e-31
367000	-5.75052e-32
368000	-7.63188e-29
369000	-8.33397e-30
370000	-2.99187e-30
371000	-6.2148e-27
372000	-3.15324e-28
373000	-9.40406e-31
374000	4.62309e-31
375000	0.000780167
376000	-1.48327e-29
377000	6.35797e-30
378000	2.24741e-31
379000	1.2854e-26
380000	-6.97468e-29
381000	-1.84451e-30
382000	-9.65114e-26
383000	-7.00832e-28
384000	1.06867e-29
385000	8.18584e-31
386000	2.01557e-26
387000	-4.49914e-29
388000	2.70741e-30
389000	-7.55374e-31
390000	0.000780175
391000	7.57011e-29
392000	1.08227e-29
393000	-2.85106e-31
394000	-8.32501e-27
395000	2.18486e-29
396000	6.55936e-30
397000	7.79528e-26
398000	-1.90173e-27
399000	-9.36457e-32
400000	6.31061e-31
401000	1.03006e-25
402000	-2.66756e-28
403000	7.53853e-30
404000	-8.22528e-31
405000	0.000780239
406000	-1.78615e-29
407000	8.39517e-30
408000	-1.72589e-25
409000	-2.99548e-28
410000	1.03213e-29
411000	2.7886e-30
412000	-1.39877e-25
413000	-2.67591e-28
414000	-1.08981e-29
415000	-6.86698e-31
416000	2.594e-26
417000	4.97376e-29
418000	9.74686e-32
419000	-1.26086e-25
420000	0.00078018
421000	1.13383e-28
422000	3.57644e-31
423000	-2.34491e-25
424000	-2.93116e-27
425000	2.39193e-30
426000	-8.40823e-31
427000	9.41362e-27
428000	9.65894e-28
429000	2.96623e-30
430000	-6.59746e-26
431000	-5.44655e-26
432000	1.73652e-28
433000	1.37209e-30
434000	2.98416e-25
435000	0.000780229
436000	2.72478e-32
437000	3.78985e-31
438000	-1.85111e-26
439000	1.77106e-27
440000	-1.96758e-30
441000	9.73872e-31
442000	3.69119e-26
443000	6.09112e-28
444000	4.33006e-30
445000	1.3336e-25
446000	-5.44089e-26
447000	-8.08348e-30
448000	2.20025e-30
449000	-8.08562e-26
450000	0.0007802
451000	-5.37378e-30
452000	3.84482e-31
453000	-1.14748e-25
454000	-3.81577e-27
455000	-8.81667e-31
456000	4.60052e-25
457000	-4.33385e-26
458000	-3.6274e-28
459000	5.13404e-30
460000	-9.7564e-26
461000	1.41854e-25
462000	9.91763e-29
463000	9.88785e-31
464000	4.08502e-26
465000	0.000780219
466000	-1.898e-30
467000	-7.8108e-31
468000	-2.55762e-27
469000	-1.05418e-28
470000	-1.47251e-31
471000	-7.51902e-26
472000	-3.75903e-26
473000	6.32267e-29
474000	1.149e-30
475000	1.47735e-25
476000	-5.1839e-26
477000	4.51591e-29
478000	-5.27981e-31
479000	-1.27266e-25
480000	0.000780209
481000	1.72886e-29
482000	-3.83656e-31
483000	2.19726e-25
484000	-2.61673e-27
485000	2.79585e-30
486000	1.17898e-25
487000	-2.48595e-25
488000	-1.63922e-29
489000	7.96316e-31
490000	1.14419e-25
491000	-1.72387e-25
492000	5.34292e-29
493000	-6.45003e-31
494000	2.70885e-26
495000	0.000780226
496000	-1.929e-29
497000	1.55133e-25
498000	7.47768e-26
499000	-5.63483e-27
500000	3.92092e-31
501000	7.78147e-26
502000	-8.93794e-26
503000	-2.44389e-29
504000	-1.88829e-30
505000	2.91137e-26
506000	1.74178e-25
507000	-5.08742e-30
508000	-1.25033e-32
509000	8.89748e-26
510000	0.000780204
511000	3.53336e-30
512000	-6.19142e-26
513000	-1.05014e-25
514000	-9.67367e-28
515000	3.91048e-31
516000	-8.40877e-26
517000	-3.672e-26
518000	5.97997e-28
519000	-1.00954e-31
520000	-1.37839e-25
521000	2.2414e-26
522000	-1.72199e-30
523000	-5.82435e-31
524000	-1.67873e-25
525000	0.000780232
526000	2.32513e-30
527000	5.49477e-33
528000	1.37123e-25
529000	-8.17818e-29
530000	-2.03568e-31
531000	-6.61606e-26
532000	-5.29889e-26
533000	-1.47743e-28
534000	-5.69742e-31
535000	4.28168e-26
536000	2.07252e-27
537000	6.28916e-30
538000	-7.11663e-31
539000	-2.89423e-25
540000	0.00078024
541000	-9.24629e-30
542000	4.03303e-31
543000	6.97208e-26
544000	3.45103e-28
545000	7.44344e-31
546000	1.49991e-25
547000	2.75183e-26
548000	-1.22583e-29
549000	-1.47347e-32
550000	-9.71188e-26
551000	-3.26831e-27
552000	-1.4737e-30
553000	-4.36501e-31
554000	1.7579e-26
555000	0.000780204
556000	7.84252e-30
557000	-8.08454e-31
558000	1.9398e-26
559000	6.40329e-28
560000	1.81788e-31
561000	3.42704e-25
562000	8.77381e-26
563000	1.04497e-28
564000	7.40616e-31
565000	2.58981e-26
566000	-9.7538e-26
567000	2.72478e-29
568000	2.2083e-32
